ticker,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
A,147.81,148.45,-0.05,-0.48,964629,0.7,1.5,10.44,32.53,20.07,8.96,68.75,2.47,2.3,9.28,13.24,-7.38
AA,50.2,51.71,3.46,0.44,3996253,0.71,2.01,11.13,-16.04,-12.37,-4.45,55.93,3.48,4.23,-1.17,-8.86,-38.72
AAA,24.95,24.95,-0.02,-0.02,2737,0.03,-0.04,0.08,0.12,-0.56,-0.12,46.7,0.28,0.27,-0.1,-0.14,-0.76
AAAC,20.09,20.09,-0.02,-0.02,12,0.64,0.07,0.12,0.12,-0.04,0.12,61.63,0.0,0.04,0.15,,-0.45
AAAD,49.49,49.49,-0.18,-0.18,11,0.03,0.09,-1.24,-0.87,-0.87,-0.87,42.41,0.01,0.21,-0.81,,-1.83
AAAP,25.39,25.36,0,0.1,1199,0.02,0.06,0.32,0.98,0.98,0.98,76.06,0.04,0.09,,,-0.1
AAC.U,10.19,10.19,0.89,0.89,159,0.0,0.12,0.99,1.19,1.19,1.19,60.55,0.38,0.59,,,-1.64
AACB,10.58,10.59,-0.05,-0.09,43941,0.39,0.09,0.81,1.39,1.88,2.77,61.07,0.37,0.32,0.58,2.52,-0.14
AACBU,10.68,10.7,0.19,0,600,0.43,0.19,0.19,1.61,0.94,1.13,48.52,0.09,3.82,0.76,,-18.38
AACG,0.93,1.01,5.21,-3.01,156783,0.12,16.11,9.77,-15.13,13.47,27.85,55.36,9.27,9.28,4.03,-1.55,-60.84
AACI,10.05,10.05,0.5,0.5,113,0.0,0.5,0.5,1.31,1.01,1.01,72.4,0.02,0.19,0.96,,0.0
AACO,9.97,9.97,0.1,0.1,4007,0.32,0.4,-0.1,0.3,0.2,0.2,57.98,0.02,0.17,,,-0.2
AACOU,10.13,10.13,0.8,0.8,202,0.01,0.8,1.2,1.71,1.4,1.4,57.99,0.19,1.45,1.33,,-9.8
AACP,10.03,10.03,0,0,179,0.0,0.2,0.5,0.8,0.8,0.8,63.97,0.07,0.14,,,0.0
AACPU,10.28,10.28,0.39,0.39,468,0.34,0.39,0.59,1.78,2.7,2.7,58.7,0.0,0.49,1.21,,-3.93
AADR,85.45,84.94,0.04,0.63,4773,0.91,1.35,2.96,0.9,-9.16,-2.59,59.24,0.91,1.32,2.4,-1.28,-13.66
AADX,18.23,18.12,1.12,1.73,968767,0.89,-15.45,6.03,-12.67,-12.67,-12.67,43.45,7.73,8.38,-7.75,,-25.25
AAEQ,55.16,55.1,-0.44,-0.34,1376,0.98,-0.32,3.9,4.74,13.33,11.79,61.48,0.23,0.62,3.19,,-0.72
AAL,14.77,14.43,-2.7,-0.39,40402324,0.84,-8.32,-5.19,18.52,2.85,-6.12,40.67,3.72,4.37,-8.37,3.86,-23.2
AALG,12.73,12.4,-5.48,-2.95,63750,2.65,-17.24,-14.73,29.14,-10.81,-28.95,39.29,6.01,8.53,-19.99,-9.08,-43.83
AAME,1.44,1.42,-2.07,-0.69,24278,1.32,-7.19,-10.69,-35.45,-48.18,-52.19,35.49,4.6,5.57,-12.97,-39.65,-61.73
AAMI,92.44,92.99,0.52,-0.08,310065,0.81,4.14,14.55,35.36,78.01,98.53,68.67,3.56,3.27,14.3,50.79,-0.88
AAOI,152.64,154.89,3.07,1.57,12851738,0.83,9.29,61.16,-7.44,249.32,326.17,62.53,12.0,10.44,16.47,62.06,-33.71
AAON,87.83,88.09,0.33,0.03,938343,0.7,-6.29,-19.38,-32.6,-13.43,13.21,37.26,5.94,6.74,-20.28,-11.9,-41.45
