ticker,clase,first_date,last_date,n_rows,raw_first,flags
VRT,WL,2018-07-31,2026-07-01,1969,2018-07-31,
VST,WL,2017-05-11,2026-07-01,2297,2017-05-11,
VSTM,WL,2012-02-03,2026-07-01,3622,2012-02-03,
WATT,WL,2014-03-28,2026-07-01,3083,2014-03-28,
WCC,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
WDC,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
WKEY,WL,2019-12-30,2026-07-01,1563,2019-12-30,
WMS,WL,2014-07-25,2026-07-01,3001,2014-07-25,
WSO,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
WTS,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
XAR,WL,2011-10-04,2026-07-01,3581,2011-10-04,
XBI,WL,2006-02-06,2026-07-01,5131,2006-02-06,
XCH,WL,2024-09-10,2026-07-01,453,2024-09-10,
XHE,WL,2011-02-01,2026-07-01,3814,2011-02-01,
XPON,WL,2022-04-01,2026-07-01,1065,2022-04-01,
XSD,WL,2006-02-06,2026-07-01,5127,2006-02-06,
XYL,WL,2011-11-03,2026-07-01,3684,2011-11-03,
ZBRA,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
ZNTL,WL,2020-04-03,2026-07-01,1568,2020-04-03,
ZOOZ,WL,2024-04-08,2026-07-01,552,2024-04-08,
ZURA,WL,2023-03-22,2026-07-01,822,2023-03-22,
ZVRA,WL,2021-01-11,2026-07-01,1373,2021-01-11,
ZYME,WL,2017-04-28,2026-07-01,2306,2017-04-28,
AIPO,BENCH,2025-07-28,2026-07-01,234,2025-07-28,
AIRR,BENCH,2014-03-13,2026-07-01,3089,2014-03-13,
ARKG,BENCH,2014-11-05,2026-07-01,2926,2014-11-05,
ARKK,BENCH,2014-11-05,2026-07-01,2921,2014-11-05,
ARKX,BENCH,2021-03-31,2026-07-01,1319,2021-03-31,
BOTZ,BENCH,2016-09-16,2026-07-01,2459,2016-09-16,
DBC,BENCH,2006-02-03,2026-07-01,5132,2006-02-03,
DFEN,BENCH,2017-05-04,2026-07-01,2302,2017-05-04,
DIA,BENCH,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
DRAM,BENCH,2026-04-06,2026-07-01,61,2026-04-06,
EEM,BENCH,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
EFA,BENCH,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
EFG,BENCH,2005-08-05,2026-07-01,5257,2005-08-05,
EFV,BENCH,2005-08-05,2026-07-01,5257,2005-08-05,
EUV,BENCH,2026-06-08,2026-07-01,17,2026-06-08,
EWG,BENCH,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
EWH,BENCH,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
EWJ,BENCH,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
EWL,BENCH,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
EWP,BENCH,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
EWQ,BENCH,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
EWT,BENCH,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
EWU,BENCH,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
EWY,BENCH,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
EWZ,BENCH,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
EZU,BENCH,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
FOTO,BENCH,2026-06-01,2026-07-01,22,2026-06-01,
FXI,BENCH,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
GDX,BENCH,2006-05-22,2026-07-01,5058,2006-05-22,
GLD,BENCH,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
GNOM,BENCH,2019-04-10,2026-07-01,1811,2019-04-10,
GRID,BENCH,2009-11-17,2026-07-01,4008,2009-11-17,
HELX,BENCH,2020-03-02,2026-07-01,1500,2020-03-02,
HYG,BENCH,2007-04-11,2026-07-01,4836,2007-04-11,
IBB,BENCH,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
ICLN,BENCH,2008-06-25,2026-07-01,4531,2008-06-25,
IDNA,BENCH,2019-06-17,2026-07-01,1770,2019-06-17,
IHI,BENCH,2006-05-05,2026-07-01,5069,2006-05-05,
IJH,BENCH,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
IJR,BENCH,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
ITA,BENCH,2006-05-05,2026-07-01,5069,2006-05-05,
IWD,BENCH,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
IWF,BENCH,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
IWM,BENCH,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
IWN,BENCH,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
IWO,BENCH,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
LIT,BENCH,2010-07-23,2026-07-01,4005,2010-07-23,
LQD,BENCH,2005-02-25,2026-07-01,5366,2005-02-25,BORDE-COBERTURA
MDY,BENCH,2005-02-25,2026-07-01,5366,2005-02-25,BORDE-COBERTURA
NLR,BENCH,2007-08-15,2026-07-01,4655,2007-08-15,
NUKZ,BENCH,2024-01-25,2026-07-01,607,2024-01-25,
PAVE,BENCH,2017-03-09,2026-07-01,2338,2017-03-09,
PBW,BENCH,2005-03-03,2026-07-01,5362,2005-03-03,
PHO,BENCH,2005-12-06,2026-07-01,5172,2005-12-06,
POW,BENCH,2025-10-28,2026-07-01,169,2025-10-28,
PPA,BENCH,2005-10-26,2026-07-01,5197,2005-10-26,
QQQ,BENCH,2000-01-03,2026-07-01,6663,1999-03-10,PROFUNDO
ROBO,BENCH,2013-10-25,2026-07-01,3188,2013-10-25,
ROKT,BENCH,2018-10-24,2026-07-01,1897,2018-10-24,
RSP,BENCH,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
SHLD,BENCH,2023-09-15,2026-07-01,700,2023-09-15,
SLV,BENCH,2006-04-28,2026-07-01,5074,2006-04-28,
SMH,BENCH,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
SMHX,BENCH,2024-08-30,2026-07-01,459,2024-08-30,
SOXL,BENCH,2010-03-11,2026-07-01,4101,2010-03-11,
SOXX,BENCH,2005-02-25,2026-07-01,5370,2005-02-25,BORDE-COBERTURA
SPY,BENCH,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
TAN,BENCH,2008-04-15,2026-07-01,4581,2008-04-15,
TLT,BENCH,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
UFO,BENCH,2019-04-15,2026-07-01,1813,2019-04-15,
UNG,BENCH,2007-04-18,2026-07-01,4831,2007-04-18,
URA,BENCH,2010-11-10,2026-07-01,3931,2010-11-10,
USO,BENCH,2006-04-10,2026-07-01,5087,2006-04-10,
UUP,BENCH,2007-02-20,2026-07-01,4870,2007-02-20,
VB,BENCH,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
VGK,BENCH,2005-03-10,2026-07-01,5360,2005-03-10,
VOO,BENCH,2010-09-14,2026-07-01,3972,2010-09-14,
VTI,BENCH,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
VTV,BENCH,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
VUG,BENCH,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
VXX,BENCH,2018-01-18,2026-07-01,2122,2018-01-18,
XAR,BENCH,2011-10-04,2026-07-01,3581,2011-10-04,
XBI,BENCH,2006-02-06,2026-07-01,5131,2006-02-06,
XHE,BENCH,2011-02-01,2026-07-01,3814,2011-02-01,
XLB,BENCH,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
XLC,BENCH,2018-06-21,2026-07-01,2017,2018-06-21,
XLE,BENCH,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
XLF,BENCH,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
XLI,BENCH,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
XLK,BENCH,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
XLP,BENCH,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
XLRE,BENCH,2015-10-08,2026-07-01,2693,2015-10-08,
XLU,BENCH,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
XLV,BENCH,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
XLY,BENCH,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
XSD,BENCH,2006-02-06,2026-07-01,5127,2006-02-06,
