ticker,clase,first_date,last_date,n_rows,raw_first,flags
DFTX,WL,2021-04-28,2026-07-01,1300,2021-04-28,
DIOD,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
DNLI,WL,2017-12-08,2026-07-01,2150,2017-12-08,
DOV,WL,2000-01-03,2026-07-01,6663,1985-07-01,PROFUNDO
DRAM,WL,2026-04-06,2026-07-01,61,2026-04-06,
DSGN,WL,2021-03-26,2026-07-01,1322,2021-03-26,
DY,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
ECG,WL,2024-11-04,2026-07-01,414,2024-11-04,
ECHO,WL,2007-12-31,2026-07-01,4653,2007-12-31,
EDSA,WL,2015-11-05,2026-07-01,2677,2015-11-05,
EFOI,WL,2008-08-11,2026-07-01,4475,2008-08-11,
ELPW,WL,2024-11-25,2026-07-01,399,2024-11-25,
ELVA,WL,2023-07-07,2026-07-01,749,2023-07-07,
EME,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
EMR,WL,2000-01-03,2026-07-01,6663,1982-01-04,PROFUNDO
ENPH,WL,2012-03-30,2026-07-01,3583,2012-03-30,
ENS,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
ENVX,WL,2021-01-06,2026-07-01,1377,2021-01-06,
EOSE,WL,2020-06-04,2026-07-01,1522,2020-06-04,
ETN,WL,2000-01-03,2026-07-01,6661,1985-07-01,PROFUNDO
EUV,WL,2026-06-08,2026-07-01,17,2026-06-08,
EVMN,WL,2025-11-06,2026-07-01,162,2025-11-06,
EVTL,WL,2021-12-17,2026-07-01,1137,2021-12-17,
EXTR,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
FAST,WL,2000-01-03,2026-07-01,6661,1990-03-26,PROFUNDO
FELE,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
FERG,WL,2021-03-09,2026-07-01,1335,2021-03-09,
FISN,WL,2026-06-18,2026-07-01,9,2026-06-18,
FIX,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
FLNC,WL,2021-10-28,2026-07-01,1172,2021-10-28,
FLR,WL,2000-12-22,2026-07-01,6414,2000-12-22,
FLS,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
FLUX,WL,2020-08-17,2026-07-01,1475,2020-08-17,
FORM,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
FOTO,WL,2026-06-01,2026-07-01,22,2026-06-01,
FSLR,WL,2006-11-16,2026-07-01,4933,2006-11-16,
FTAI,WL,2015-05-15,2026-07-01,2798,2015-05-15,
FTH,WL,2021-02-04,2026-07-01,1356,2021-02-04,
FTV,WL,2016-07-06,2026-07-01,2511,2016-07-06,
GALT,WL,2012-03-26,2026-07-01,3587,2012-03-26,
GD,WL,2000-01-03,2026-07-01,6661,1977-01-03,PROFUNDO
GE,WL,2000-01-03,2026-07-01,6660,1962-01-02,PROFUNDO
GEV,WL,2024-04-03,2026-07-01,563,2024-04-03,
GFS,WL,2021-10-28,2026-07-01,1172,2021-10-28,
GGG,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
GH,WL,2018-10-04,2026-07-01,1943,2018-10-04,
GNOM,WL,2019-04-10,2026-07-01,1811,2019-04-10,
GNRC,WL,2010-02-10,2026-07-01,4121,2010-02-10,
GRC,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
GRID,WL,2009-11-17,2026-07-01,4008,2009-11-17,
GSIT,WL,2007-03-28,2026-07-01,4843,2007-03-28,
GTES,WL,2018-01-25,2026-07-01,2119,2018-01-25,
GTLS,WL,2006-07-25,2026-07-01,5014,2006-07-25,
GVA,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
GWW,WL,2000-01-03,2026-07-01,6663,1984-12-17,PROFUNDO
HEI,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
HELX,WL,2020-03-02,2026-07-01,1500,2020-03-02,
HIMX,WL,2006-03-30,2026-07-01,5094,2006-03-30,
HOLO,WL,2021-08-09,2026-07-01,1225,2021-08-09,
HON,WL,2000-01-03,2026-07-01,6662,1970-01-02,PROFUNDO
HUBB,WL,2015-12-28,2026-07-01,2642,2015-12-28,
HWM,WL,2016-11-01,2026-07-01,2428,2016-11-01,
HXL,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
HY,WL,2012-10-03,2026-07-01,3454,2012-10-03,
IBRX,WL,2015-07-28,2026-07-01,2748,2015-07-28,
ICCM,WL,2021-08-27,2026-07-01,1213,2021-08-27,
ICLN,WL,2008-06-25,2026-07-01,4531,2008-06-25,
IDNA,WL,2019-06-17,2026-07-01,1770,2019-06-17,
IDYA,WL,2019-05-23,2026-07-01,1786,2019-05-23,
IESC,WL,2006-05-15,2026-07-01,5012,2006-05-15,
