ticker,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
UNG,228.48,222.08,-3.61,-0.83,924082,1.03,4.52,-7.1,-37.14,-34.09,-7.22,43.2,4.05,4.88,-12.64,-33.57,-49.87
UUP,22.57,22.49,-0.95,-0.6,2081173,0.85,0.65,1.93,7.18,14.58,2.98,55.1,0.69,0.72,2.54,10.04,-1.15
XLU,16.19,16.08,-0.45,0.23,58723467,1.31,-5.54,-3.23,-0.07,12.66,-3.3,37.7,1.41,1.94,-3.07,5.17,-7.16
EWH,17.49,17.56,-0.36,-0.73,2780968,0.76,-0.36,2.51,1.44,-1.01,5.66,56.5,0.69,0.94,3.14,3.27,-3.49
TLT,95.93,95.84,-0.32,-0.22,16953585,1.24,-2.88,-1.58,9.79,13.6,1.9,42.7,1.13,1.37,0.44,9.97,-6.14
HYG,67.07,67.06,-0.01,0.01,4322158,0.47,0.12,1.52,-0.46,-0.3,1.96,62.2,0.35,0.5,1.8,0.48,-1.2
NLR,40.02,40.21,0.12,-0.36,3740,0.74,-3.11,-1.41,-4.0,2.26,-2.28,40.6,1.2,1.37,-2.52,-0.44,-5.53
GLD,117.69,117.34,0.23,0.53,4342804,0.46,-3.65,-0.69,4.73,-7.02,2.86,42.3,1.32,1.46,-0.61,-2.56,-11.84
LQD,99.86,100.15,0.23,-0.06,4899356,1.67,-0.94,0.29,3.2,3.42,1.49,49.4,0.47,0.54,0.88,2.98,-1.95
XLV,62.38,62.31,0.36,0.47,11445612,0.88,0.03,0.73,4.03,15.97,2.64,53.5,1.07,1.54,1.08,10.03,-1.27
SLV,16.15,16.15,0.44,0.44,4937101,0.56,-2.59,-0.86,6.88,-15.18,6.88,46.5,2.12,2.44,0.61,-7.96,-23.75
XLP,40.43,40.52,0.47,0.25,8776791,0.85,0.89,1.59,4.65,13.83,2.86,57.8,0.86,1.15,1.91,8.71,-0.96
LIT,20.35,20.54,0.52,-0.44,4755,0.77,1.24,2.32,-4.05,-13.9,1.87,59.9,1.05,1.27,2.17,-8.18,-19.47
ARKG,21.11,21.24,0.62,0.0,7013,2.01,0.84,1.65,14.11,,6.71,58.5,1.33,1.77,5.11,,0.0
DIA,159.63,160.16,0.63,0.3,4203013,0.52,0.73,2.28,2.75,9.19,1.2,59.9,0.99,1.23,2.0,5.97,-0.11
EWJ,41.41,41.69,0.68,0.0,26457629,3.12,0.34,5.45,1.12,-0.58,4.71,61.3,0.77,1.1,3.08,1.94,-3.18
IHI,18.66,18.7,0.69,0.43,223402,0.19,-0.5,1.21,7.04,14.97,2.95,55.9,1.03,1.34,1.85,10.92,-0.5
ARKK,19.22,19.39,0.71,-0.15,1883,0.76,1.64,5.95,4.39,,5.0,66.0,1.06,1.27,5.14,,0.0
EWL,27.3,27.64,0.74,-0.49,482304,0.48,0.67,3.64,0.98,-0.3,4.03,58.2,1.18,1.19,1.82,-0.64,-5.32
AIRR,17.61,17.64,0.79,0.62,24504,0.35,1.25,4.68,-5.79,-3.7,-1.36,56.7,1.88,2.06,1.99,-2.71,-9.68
ITA,55.14,55.36,0.86,0.45,183053,1.26,1.48,5.53,8.42,14.6,4.98,65.9,0.89,1.27,4.75,9.7,0.0
IWF,22.17,22.26,0.9,0.48,7638548,0.83,1.54,4.57,4.31,9.95,3.26,63.6,0.92,1.23,3.37,7.61,0.0
IJH,25.77,25.88,0.91,0.48,6154952,0.74,0.82,4.4,4.49,8.1,3.13,62.0,0.98,1.26,3.44,6.54,0.0
VTV,69.42,69.67,0.92,0.56,1524743,0.97,1.17,2.6,2.14,7.07,0.76,58.7,1.04,1.25,1.77,5.0,-0.67
VOO,159.56,160.27,0.93,0.48,2400596,0.87,1.33,3.34,2.89,8.31,1.67,60.8,0.95,1.24,2.34,6.12,0.0
SPY,174.16,174.96,0.94,0.49,116321452,0.62,1.35,3.38,2.85,8.31,1.68,60.8,0.95,1.26,2.35,6.1,0.0
XLI,48.81,49.11,0.94,0.34,7242316,0.55,1.03,3.6,1.61,8.96,0.71,59.0,0.97,1.32,1.86,5.4,-1.01
MDY,244.68,245.73,0.95,0.53,3451654,1.74,0.82,4.37,4.41,7.95,3.1,61.9,0.99,1.29,3.43,6.46,0.0
VTI,93.61,94.03,0.95,0.5,5101514,1.33,1.24,3.53,3.17,8.15,1.92,61.0,0.97,1.24,2.58,6.16,0.0
XAR,52.11,52.37,0.95,0.44,17706,1.23,2.56,7.43,9.45,16.26,5.17,67.4,0.91,1.23,5.38,11.36,0.0
EWY,48.57,48.85,0.98,0.4,2954649,0.91,-2.55,-1.77,-1.43,-14.69,1.59,44.4,0.92,1.2,-0.54,-7.94,-16.51
VUG,16.12,16.21,0.98,0.38,6063909,1.05,1.52,4.57,4.19,9.77,3.08,63.4,0.9,1.23,3.31,7.6,0.0
XLF,16.95,17.09,0.99,0.16,47227007,0.76,2.09,2.55,1.54,9.42,-1.13,59.2,1.21,1.41,1.3,5.88,-2.36
IBB,104.99,105.13,1.0,0.86,2227906,0.45,0.16,1.74,8.17,24.65,4.62,54.3,1.54,2.41,2.6,16.49,-2.31
PHO,24.12,24.23,1.03,0.56,63803,0.49,0.15,1.2,-3.99,-0.74,-2.61,52.0,1.18,1.41,-0.21,-1.72,-7.13
IWD,87.59,88.1,1.04,0.46,1587222,0.7,1.01,2.51,1.94,6.34,0.61,58.5,1.02,1.25,1.73,4.65,-0.8
RSP,71.1,71.49,1.07,0.51,1607265,1.08,1.16,4.26,3.73,8.56,1.95,61.5,1.0,1.26,2.85,6.57,0.0
IWN,87.18,87.63,1.09,0.58,730819,0.44,0.0,2.32,1.18,4.55,0.2,56.2,1.23,1.48,1.77,3.4,-1.53
IWM,108.54,109.09,1.09,0.59,30838113,0.81,0.7,3.02,3.3,7.13,1.57,59.0,1.19,1.56,2.68,5.84,-0.21
ROBO,25.09,25.32,1.1,0.19,36267,1.4,0.68,3.39,-1.7,-4.01,0.48,57.7,0.87,1.15,1.21,-1.84,-8.86
XHE,41.71,41.9,1.11,0.65,2794,0.6,1.72,3.45,12.6,19.57,5.44,63.5,0.95,1.23,4.01,15.03,0.0
QQQ,97.34,97.83,1.14,0.63,24390165,0.67,2.13,4.4,4.0,10.57,2.95,63.2,1.05,1.41,2.91,8.82,0.0
IWO,137.08,137.84,1.15,0.58,569338,0.64,1.36,3.68,5.41,9.87,3.01,61.6,1.24,1.63,3.64,8.32,0.0
XLY,32.7,32.95,1.18,0.44,9333584,0.53,1.9,5.58,9.51,12.39,3.92,67.4,1.06,1.3,4.8,10.2,0.0
PPA,33.59,33.34,1.18,1.93,54296,0.83,2.04,5.47,7.61,14.92,4.51,67.4,0.86,1.43,4.56,10.04,0.0
VB,106.14,106.73,1.19,0.63,596983,1.06,0.88,3.99,3.88,6.84,2.56,61.6,1.07,1.34,3.32,5.81,0.0
IJR,51.29,51.61,1.22,0.61,1368616,0.52,0.64,3.18,3.34,7.53,1.78,59.8,1.17,1.5,2.9,6.02,-0.05
URA,17.34,17.34,1.23,1.23,67139,0.8,-0.35,0.1,-19.67,-25.14,-6.03,50.7,1.91,2.39,-2.18,-16.12,-40.24
XLE,25.98,25.97,1.31,1.36,81745175,0.85,0.67,9.2,-7.36,-15.55,1.02,59.1,1.66,2.25,3.72,-9.39,-19.78
XLK,18.48,18.59,1.35,0.77,15430892,0.66,2.78,4.02,3.97,9.09,2.68,64.6,1.1,1.41,3.11,7.7,0.0
EFG,60.29,60.71,1.38,0.67,58420,0.39,0.08,4.87,1.11,-1.17,4.16,59.2,0.92,1.14,2.63,-0.38,-6.14
SMH,25.08,25.33,1.41,0.4,6569584,0.91,2.86,5.55,9.44,14.59,2.88,62.0,1.27,1.8,3.32,11.59,0.0
EWT,22.23,22.39,1.41,0.7,5336060,0.79,0.19,6.54,2.45,0.85,5.82,59.9,1.15,1.33,4.1,3.42,-2.74
FXI,35.77,35.93,1.43,0.99,13536849,0.71,-0.69,0.5,9.53,4.29,2.47,54.3,1.53,1.66,2.87,9.62,-2.62
XSD,40.18,40.54,1.48,0.58,107879,0.65,3.13,7.88,17.22,18.17,6.23,69.4,1.21,1.77,6.85,14.91,0.0
PBW,23.49,23.76,1.49,0.37,98834,3.35,3.25,8.18,-5.52,-14.98,3.04,66.2,1.65,2.05,5.84,-8.86,-29.46
DBC,17.49,17.59,1.52,0.95,11319507,3.42,0.73,4.81,-17.27,-28.0,-0.71,53.2,1.39,1.8,-1.26,-21.21,-32.76
EFA,51.12,51.55,1.55,0.71,20493935,0.76,0.17,6.02,0.8,-2.78,4.65,59.6,1.05,1.22,3.16,-1.28,-7.51
