ticker,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
UNG,1052.16,1015.04,-4.0,-0.48,215614,1.5,2.72,-2.34,13.61,-19.08,-25.47,52.7,2.48,3.5,1.15,-8.61,-43.52
TLT,64.65,64.34,-1.72,-1.24,8855315,0.98,-0.86,-2.8,7.7,8.34,9.96,46.8,0.96,1.2,-0.08,5.43,-3.22
UUP,21.3,21.23,-0.93,-0.59,3233983,1.06,-1.43,-4.39,-2.45,0.72,2.62,24.6,0.47,0.71,-4.98,-0.63,-8.94
LQD,77.98,77.78,-0.61,-0.35,1076973,0.94,-0.09,1.37,2.56,4.88,4.7,61.6,0.29,0.45,1.98,3.42,-0.61
HYG,50.43,50.48,-0.15,-0.26,1790625,0.99,-0.45,4.49,-0.29,2.92,-0.04,63.6,0.47,0.79,3.09,1.95,-1.33
GLD,116.12,115.54,0.04,0.55,8473382,0.72,0.02,-1.28,-0.16,6.64,5.23,44.6,0.93,1.37,-2.49,2.9,-5.94
XLP,19.9,19.92,1.13,1.03,10672308,0.99,0.0,6.81,-1.81,3.37,2.3,59.4,0.88,1.23,3.02,1.45,-3.01
PBW,36.61,36.57,1.2,1.32,148343,1.4,-3.54,11.55,-10.09,-5.6,-18.31,56.4,1.88,2.9,5.58,-5.57,-21.25
IHI,8.37,8.37,1.32,1.32,590032,0.79,-1.34,0.5,-11.98,-0.22,-0.73,45.6,1.41,2.05,-2.42,-2.78,-11.98
PPA,15.16,15.24,1.49,0.96,64399,2.13,-0.17,9.45,-10.1,2.75,0.52,60.4,1.46,1.81,3.23,0.49,-11.13
SOXX,13.31,13.35,1.54,1.21,1191028,2.78,-4.47,7.01,-9.29,5.06,-6.3,49.3,2.02,2.87,0.52,-0.67,-13.19
XSD,20.69,20.67,1.58,1.7,461531,2.36,-4.79,5.78,-11.1,1.63,-7.56,47.5,2.01,2.92,-0.6,-2.09,-15.59
IJR,24.9,24.9,1.59,1.57,2761028,0.81,-0.62,8.94,-8.97,9.41,4.42,58.1,1.86,2.64,3.42,3.86,-10.11
NLR,42.12,42.34,1.61,1.08,16446,1.03,4.04,12.54,-6.0,-4.67,-10.18,66.6,1.39,1.94,6.73,-4.43,-17.08
ITA,23.54,23.58,1.63,1.46,48304,0.96,0.09,10.17,-10.05,5.56,3.86,61.7,1.58,2.1,4.21,2.64,-10.52
IWN,49.07,49.08,1.68,1.66,2387319,0.81,0.07,9.1,-11.5,8.27,3.71,58.4,1.99,2.74,3.24,2.68,-12.71
IWO,65.62,65.63,1.7,1.68,1310096,0.69,-0.96,8.91,-7.73,9.27,3.15,58.1,1.97,2.7,3.63,3.74,-8.7
IWM,56.22,56.21,1.74,1.77,58721856,0.73,-0.47,9.01,-9.7,8.77,3.39,58.2,1.97,2.73,3.43,3.21,-10.76
