ticker,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
FXI,42.89,42.98,-1.02,-1.21,41813369,2.04,1.84,6.75,10.97,8.26,-0.13,66.5,1.03,1.09,6.57,9.38,-1.02
SLV,16.6,16.62,-0.95,-1.07,12185319,0.96,-3.2,4.86,0.79,14.31,-1.13,53.3,0.91,1.38,2.69,7.72,-9.38
VXX,882.56,874.24,-0.73,0.22,522343,1.13,-8.99,-15.68,-38.66,-40.04,-5.86,30.9,2.51,4.3,-17.39,-41.61,-66.12
EEM,41.28,41.28,-0.56,-0.58,84487938,1.27,2.79,5.17,12.48,8.82,0.57,69.0,0.79,0.96,5.77,10.37,-0.56
EWP,26.83,26.89,-0.56,-0.81,1643989,1.57,-0.49,0.26,3.91,0.06,-2.73,48.4,0.66,0.82,1.08,2.81,-2.73
UNG,69.56,67.4,-0.53,2.66,1213574,1.12,1.38,-5.97,-13.9,-15.62,2.31,41.0,1.62,3.01,-9.92,-16.75,-41.33
XLRE,35.8,35.66,-0.48,-0.1,4060292,1.07,2.17,4.77,0.13,5.29,1.83,59.8,0.76,1.08,2.33,4.34,-2.09
XLK,45.42,45.15,-0.47,0.13,16991754,0.96,2.77,7.29,17.01,18.64,1.81,73.9,0.7,1.02,6.99,17.71,-0.47
VUG,30.38,30.26,-0.44,-0.05,24806855,4.39,2.1,6.39,12.96,12.51,2.02,74.1,0.57,0.83,5.89,13.01,-0.44
XLB,26.7,26.62,-0.41,-0.1,12428863,0.86,1.19,-0.79,6.12,3.72,-0.99,50.5,0.66,0.98,0.36,4.94,-2.15
QQQ,213.54,212.89,-0.4,-0.09,25401899,1.15,2.11,6.8,15.42,14.41,1.8,74.1,0.63,0.93,6.31,14.76,-0.4
PAVE,17.35,17.39,-0.34,-0.57,39392,1.15,-0.23,-0.67,10.44,7.74,-0.9,50.8,0.4,1.05,0.72,8.39,-1.23
EWY,61.92,62.07,-0.33,-0.58,3921190,1.25,4.14,6.95,13.56,13.56,2.75,69.2,0.98,1.23,6.83,11.94,-0.33
IWF,43.74,43.61,-0.33,-0.03,5567251,0.83,2.04,5.89,13.27,12.18,1.74,73.5,0.55,0.81,5.56,12.82,-0.33
PPA,69.85,69.68,-0.28,-0.03,65532,0.7,0.99,4.12,7.19,9.0,2.6,67.1,0.73,0.9,3.5,9.36,-0.28
XLC,54.41,54.28,-0.25,-0.02,2976979,1.03,1.54,5.66,12.11,9.13,2.36,71.0,0.64,0.91,5.19,10.89,-0.25
XLF,29.18,29.12,-0.2,0.0,39789017,1.08,1.01,0.58,11.96,10.9,-0.77,57.6,0.53,0.88,2.27,10.58,-0.77
EWH,23.96,23.99,-0.19,-0.31,10514268,1.56,3.13,6.44,11.78,-2.13,1.97,74.1,0.79,0.93,5.97,4.7,-3.82
SPY,302.67,302.64,-0.15,-0.15,68202278,1.05,1.46,3.76,11.19,10.29,0.79,70.0,0.44,0.67,3.97,10.66,-0.15
VOO,278.39,278.34,-0.14,-0.12,2832374,0.92,1.45,3.76,11.17,10.33,0.81,70.3,0.43,0.66,3.97,10.7,-0.14
EFV,46.29,46.37,-0.14,-0.32,488343,0.65,0.08,1.26,7.04,5.88,-1.09,55.1,0.54,0.64,1.45,6.0,-1.09
EWT,33.9,33.96,-0.12,-0.31,4396808,1.08,2.85,2.7,14.02,20.06,0.24,66.4,0.74,0.92,4.75,16.57,-0.12
AIRR,28.79,28.82,-0.11,-0.21,7147,0.68,-0.32,-0.85,8.93,10.36,0.2,50.4,0.54,0.86,0.36,8.99,-1.27
URA,10.0,10.07,-0.1,-0.83,66373,0.53,0.04,-0.99,0.18,-5.42,-1.08,51.0,0.67,1.21,-0.1,-2.53,-16.08
GLD,145.42,145.69,-0.09,-0.27,6607124,0.87,-1.54,5.24,3.63,10.04,1.21,64.2,0.55,0.81,3.77,8.14,-1.54
