ticker,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
USO,303.92,301.44,-1.21,-0.39,235631,0.89,0.43,2.64,2.53,10.69,10.08,59.4,0.66,1.0,2.49,4.48,-4.27
EWG,26.13,26.08,-0.65,-0.47,1919643,0.56,2.22,2.54,1.56,6.72,3.88,59.5,0.71,0.94,2.32,6.96,-0.65
IJR,48.0,47.68,-0.63,0.05,1356486,0.79,3.02,1.29,-1.35,1.53,-0.01,53.9,1.03,1.54,-0.18,2.94,-4.03
EWU,30.21,30.17,-0.59,-0.45,903432,0.56,0.05,2.56,2.56,7.04,4.94,54.7,0.53,0.69,2.65,6.81,-1.01
IWN,84.47,84.13,-0.56,-0.15,545359,0.5,2.96,1.08,-0.11,3.12,0.8,54.5,0.96,1.43,0.03,3.56,-3.57
IWM,101.32,100.99,-0.55,-0.22,41452725,0.69,3.59,1.81,-3.5,1.67,-0.76,55.0,1.07,1.65,-0.12,2.06,-5.44
IWO,123.49,123.14,-0.54,-0.26,938391,0.6,4.01,2.55,-6.66,0.19,-2.21,55.5,1.18,1.84,-0.22,0.62,-8.35
GLD,121.47,121.2,-0.53,-0.31,6737197,1.23,-2.8,-2.95,-5.39,1.07,2.71,31.8,0.75,0.96,-3.16,-3.24,-11.37
ROBO,25.86,25.77,-0.5,-0.11,20457,0.33,4.13,0.08,-3.1,1.78,-2.81,55.1,0.8,1.12,-0.53,,-5.3
EWQ,23.93,23.9,-0.46,-0.33,301918,0.62,1.32,0.85,4.14,8.56,8.15,56.6,0.55,0.79,1.66,7.6,-0.46
PHO,25.37,25.17,-0.45,0.35,107113,1.06,2.35,0.69,-1.4,3.61,1.62,53.5,0.8,1.24,0.01,4.1,-3.37
EWJ,39.94,39.9,-0.44,-0.36,4516605,0.56,3.53,3.15,-1.04,-5.3,-4.28,60.6,0.74,1.02,2.52,-0.94,-5.86
SLV,18.28,18.28,-0.44,-0.44,4610941,0.78,-1.98,-3.02,-10.48,-4.44,-4.94,36.8,0.99,1.31,-3.34,-8.71,-22.51
VGK,45.89,45.8,-0.41,-0.23,2817951,0.72,1.05,1.9,3.14,8.59,7.02,58.4,0.46,0.68,2.01,7.6,-0.41
MDY,224.87,224.07,-0.38,-0.03,1237723,0.87,2.14,2.37,0.75,5.6,3.89,56.6,0.66,1.14,1.11,5.32,-1.39
EFG,62.88,62.8,-0.38,-0.26,30331,0.41,1.54,1.9,2.11,3.9,3.13,60.4,0.42,0.61,1.9,4.54,-0.38
IBB,78.99,78.46,-0.37,0.3,3559157,0.87,4.91,7.4,-11.33,8.59,5.49,59.6,1.45,2.48,3.2,6.35,-12.32
AIRR,18.61,18.68,-0.36,-0.73,42102,1.31,3.48,-0.2,,,-2.31,53.6,1.26,1.86,-0.47,,-4.36
EZU,34.84,34.84,-0.35,-0.33,8959237,1.9,2.04,1.67,3.48,8.41,6.93,58.8,0.59,0.84,1.86,7.83,-0.35
EFV,43.64,43.65,-0.34,-0.35,99437,0.36,1.43,1.98,3.41,6.03,5.97,60.0,0.42,0.64,2.29,6.55,-0.34
EFA,54.25,54.22,-0.33,-0.28,11316335,0.65,1.56,2.03,2.71,5.19,4.66,60.9,0.39,0.64,2.14,5.67,-0.33
XBI,43.34,43.17,-0.32,0.08,1470338,0.85,6.5,7.56,-21.68,5.83,1.78,55.9,2.15,3.37,-0.24,-0.77,-21.98
QQQ,83.24,83.01,-0.31,-0.03,33297969,0.8,3.09,4.91,1.19,9.05,4.62,65.8,0.7,1.17,3.55,7.9,-0.31
IWF,19.79,19.76,-0.31,-0.19,4212001,0.69,2.21,3.17,1.92,6.83,4.21,61.8,0.56,0.91,2.34,6.83,-0.31
VB,98.5,98.35,-0.3,-0.15,282167,0.81,2.81,2.14,-1.23,4.66,2.31,56.2,0.81,1.31,0.58,4.37,-2.92
XLV,51.88,51.76,-0.28,-0.05,5031322,0.76,1.76,2.48,0.45,7.89,7.69,59.9,0.6,1.05,1.98,7.91,-1.25
VUG,14.41,14.37,-0.28,0.02,2444973,0.7,2.49,3.93,1.92,7.87,4.58,63.1,0.6,0.96,2.82,7.29,-0.28
IJH,23.65,23.59,-0.28,0.01,3151654,1.09,2.17,2.53,0.79,5.8,4.07,57.4,0.63,1.11,1.19,5.47,-1.29
ITA,49.74,49.67,-0.27,-0.14,362058,3.32,2.48,2.17,0.87,7.31,4.48,52.2,0.92,1.28,0.63,7.38,-2.38
XLK,16.3,16.25,-0.26,0.04,15667567,1.26,2.31,4.08,4.73,10.97,6.59,65.5,0.59,0.97,3.29,9.13,-0.26
EWL,29.0,28.97,-0.25,-0.17,772985,1.79,0.18,1.56,4.06,9.05,9.19,58.8,0.34,0.59,1.77,7.75,-0.31
DIA,146.28,145.88,-0.23,0.05,4190852,0.82,1.66,1.41,3.15,4.68,2.06,57.2,0.52,0.7,1.43,5.4,-0.33
XLF,15.3,15.3,-0.19,-0.23,47632856,1.15,2.09,2.12,3.67,4.11,2.42,57.6,0.7,0.98,0.92,5.06,-1.09
XHE,34.39,34.39,-0.18,-0.17,2363,0.37,2.15,3.79,-4.02,2.52,0.82,54.9,1.04,1.07,-0.06,2.48,-5.81
ICLN,9.29,9.34,-0.17,-0.76,11598,0.55,5.74,3.94,0.54,5.31,4.64,59.3,1.29,1.59,1.72,5.96,-5.07
XLP,35.48,35.4,-0.13,0.09,4889047,0.86,0.71,0.12,6.45,4.05,5.0,57.4,0.45,0.59,1.73,6.11,-0.66
RSP,64.56,64.38,-0.11,0.16,1466617,1.49,2.04,2.41,3.14,7.64,5.66,60.6,0.55,0.83,1.87,7.36,-0.11
VOO,144.67,144.5,-0.11,0.01,1201997,1.0,2.03,2.37,4.02,6.89,5.05,62.3,0.51,0.77,2.19,7.3,-0.11
VTI,85.17,85.06,-0.11,0.02,1610242,0.92,2.2,2.42,2.85,6.68,4.61,61.2,0.56,0.85,1.93,6.8,-0.11
XLY,28.66,28.61,-0.11,0.04,23080214,2.13,2.97,3.27,-1.13,1.49,-1.45,59.8,0.71,1.13,1.69,3.45,-2.87
TAN,36.39,36.44,-0.09,-0.22,207991,0.49,10.27,0.55,-11.47,5.28,7.56,52.9,2.24,3.31,-2.6,6.82,-18.95
SPY,158.04,157.92,-0.07,0.0,80849627,0.77,2.05,2.41,3.99,6.89,5.08,62.8,0.51,0.78,2.24,7.33,-0.07
EWH,16.46,16.46,0.0,0.05,1156055,0.56,1.35,3.19,6.22,2.91,3.29,64.2,0.94,0.95,3.21,5.15,-0.8
XAR,45.64,45.62,0.01,0.06,2353,0.14,2.56,2.04,-1.69,5.64,2.36,49.9,1.12,1.18,-0.45,5.81,-5.45
VTV,63.78,63.77,0.03,0.05,672165,0.76,1.68,1.31,5.1,6.24,5.37,60.4,0.49,0.68,1.64,7.16,0.0
HYG,67.18,67.19,0.03,0.02,5512292,1.16,0.23,1.14,1.65,4.81,3.92,72.6,0.1,0.22,1.01,3.97,0.0
DBC,25.46,25.48,0.04,-0.04,1198634,0.81,-0.31,-0.98,0.38,2.58,3.67,46.7,0.39,0.58,-0.06,1.3,-2.96
XLB,19.15,19.17,0.04,-0.08,10104605,1.01,1.58,3.49,4.81,9.74,6.42,61.5,0.62,0.98,2.32,8.96,0.0
IWD,81.06,81.13,0.06,-0.02,1561761,0.94,1.82,1.71,5.02,7.2,5.88,61.9,0.47,0.71,1.87,7.5,0.0
EWP,32.03,32.07,0.06,-0.05,538782,0.47,2.46,2.69,6.42,16.34,13.15,60.2,0.8,1.09,2.79,12.58,0.0
URA,22.98,22.95,0.06,0.2,134002,0.72,4.96,-4.51,-17.43,0.97,-0.93,45.9,1.65,2.51,-7.35,-5.29,-23.69
XLI,45.86,45.8,0.07,0.2,12127770,1.29,2.43,2.53,4.73,8.0,4.99,60.7,0.67,0.95,2.47,8.52,-0.04
PPA,29.6,29.61,0.09,0.03,36433,0.41,2.59,2.28,0.47,8.45,5.77,54.2,0.82,1.31,0.83,7.52,-2.38
SOXX,24.14,24.14,0.14,0.16,286636,1.05,3.31,5.34,6.27,19.24,13.84,64.6,0.77,1.28,3.3,13.44,0.0
SMH,20.59,20.65,0.16,-0.11,3087217,1.15,3.34,4.36,6.01,15.23,10.08,63.9,0.73,1.21,2.74,10.83,-0.15
XLE,30.03,30.08,0.17,-0.01,23688473,0.96,1.23,1.26,9.09,8.21,8.93,60.8,0.58,0.9,3.18,9.54,-0.58
UUP,19.43,19.43,0.28,0.24,1908542,3.2,0.61,0.99,-0.14,-0.92,-0.56,68.5,0.22,0.27,0.7,-0.38,-6.1
IHI,15.63,15.65,0.42,0.29,101434,0.15,1.34,2.88,0.08,7.56,6.47,57.2,0.61,0.94,0.96,6.72,-2.85
EWT,21.13,21.13,0.47,0.47,4322835,1.16,2.85,3.68,9.19,11.59,8.34,70.3,0.56,0.86,4.0,8.33,0.0
LQD,96.26,96.56,0.47,0.15,1776907,1.01,0.71,2.08,3.28,6.84,6.05,74.1,0.24,0.34,2.03,5.45,0.0
XSD,33.09,33.24,0.52,0.06,192676,0.56,5.07,4.14,4.76,22.05,15.68,62.9,1.07,1.73,2.9,13.62,-0.84
EEM,33.93,33.94,0.58,0.54,57149331,0.91,1.0,4.87,10.28,3.23,7.04,61.5,0.71,1.01,3.72,5.97,-0.58
XLU,14.37,14.45,0.59,0.0,36699554,0.94,2.04,-2.26,6.01,11.61,14.18,53.8,0.92,1.14,1.04,9.12,-2.42
GRID,34.11,34.09,0.73,0.81,1464,0.39,3.01,-2.74,-2.71,5.16,5.26,51.8,1.09,1.2,-1.48,4.42,-4.89
