ticker,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
EWZ,25.19,25.52,-3.55,-4.8,47931560,2.11,-5.2,-9.44,-14.56,-13.78,-25.75,26.2,1.61,2.12,-9.59,-14.37,-28.44
VXX,43.0,42.59,-1.99,-1.04,2111757,0.45,-10.63,-20.79,-4.3,-7.66,-31.4,36.6,3.98,5.33,-14.93,-15.55,-51.2
EWY,56.61,57.43,-1.22,-2.63,4213505,1.23,-1.0,-5.54,-12.32,-7.64,-11.29,40.3,1.55,1.66,-5.88,-10.06,-16.72
XLRE,45.24,45.0,-0.46,0.07,3737545,0.69,2.83,2.34,3.33,18.27,11.3,61.7,1.17,1.35,2.49,10.78,-0.79
XBI,99.9,99.62,-0.38,-0.1,4062380,0.37,5.64,1.22,-1.62,11.77,10.41,55.4,1.9,2.16,1.39,4.63,-4.38
UUP,29.92,29.85,-0.17,0.07,475175,0.52,-1.06,2.16,5.59,4.12,9.26,55.1,0.6,0.6,2.3,4.08,-1.58
USO,72.33,71.61,-0.15,0.85,1757580,0.61,-2.17,0.35,-3.67,-4.29,8.88,47.0,1.76,2.56,-1.8,-5.1,-13.09
IBB,142.17,141.55,-0.03,0.41,1585134,1.02,4.0,-0.6,-4.47,5.73,2.52,51.7,1.62,1.73,-0.9,1.41,-5.3
FXI,30.07,30.31,0.0,-0.81,23104602,0.46,-0.13,-4.17,14.55,13.82,30.42,46.5,2.36,2.25,-4.11,11.66,-17.39
XLU,40.07,39.98,0.04,0.27,9577445,0.45,1.27,4.86,9.44,15.74,32.08,65.8,1.1,1.35,3.38,16.1,0.0
EWP,32.54,32.73,0.06,-0.52,50048,0.14,0.49,-3.42,-3.42,-2.76,7.31,44.2,1.42,1.37,-3.41,0.64,-8.09
DBC,22.22,22.14,0.09,0.45,418979,0.6,-1.77,-1.34,0.14,-4.86,1.28,45.1,1.02,1.35,-1.7,-2.53,-7.52
IWN,181.3,180.33,0.11,0.64,457545,0.48,2.89,8.05,7.51,15.69,16.48,64.7,1.74,1.65,6.21,12.87,-0.56
LIT,44.2,44.7,0.11,-1.01,115537,0.33,-1.91,3.16,17.91,2.85,-11.12,51.3,2.39,2.45,1.87,5.88,-13.89
IJH,67.63,67.4,0.12,0.46,2904854,0.34,2.54,7.46,8.9,12.94,22.31,67.8,1.25,1.32,5.87,11.81,-0.69
XHE,93.84,93.91,0.13,0.06,1702,0.2,3.44,6.42,4.41,9.4,12.52,64.4,1.26,1.29,5.1,8.47,0.0
MDY,618.16,615.86,0.14,0.51,616621,0.6,2.53,7.45,8.94,12.76,21.77,67.7,1.25,1.31,5.88,11.7,-0.69
XLF,51.46,51.34,0.16,0.39,15178418,0.32,2.33,8.93,12.24,23.29,35.96,73.9,1.52,1.16,8.04,18.49,0.0
EEM,42.11,42.54,0.16,-0.85,17665648,0.7,-0.02,-3.31,-0.25,4.23,9.61,39.9,1.03,1.1,-3.74,1.45,-8.66
HYG,79.97,80.04,0.2,0.11,25037822,0.76,0.67,0.86,0.88,3.77,3.77,62.8,0.25,0.3,0.57,2.5,-0.4
IWD,199.71,199.79,0.24,0.2,1001258,0.52,1.88,5.64,6.09,12.77,20.48,70.9,0.8,0.86,4.09,10.54,0.0
IJR,127.02,126.53,0.25,0.63,1940454,0.5,2.89,9.26,8.61,15.39,17.45,65.8,1.71,1.63,6.72,13.45,-0.67
IHI,60.77,61.11,0.26,-0.3,272439,0.44,1.18,3.21,3.86,10.05,13.95,65.8,0.75,1.15,3.02,6.63,0.0
RSP,187.49,187.62,0.3,0.24,3752450,0.6,1.92,5.29,6.68,13.17,18.86,69.7,0.79,0.9,3.95,10.36,0.0
VB,261.31,260.51,0.3,0.61,291696,0.35,2.65,8.97,11.61,17.19,22.93,69.9,1.28,1.37,7.2,14.51,-0.41
PAVE,45.77,45.73,0.31,0.39,463171,0.29,2.05,10.19,16.01,18.17,34.07,68.2,1.76,1.45,7.41,16.44,-0.48
PHO,71.84,71.76,0.31,0.42,23796,0.31,1.96,3.89,2.75,8.38,18.85,60.0,1.02,1.1,2.33,6.78,-0.47
XLV,146.92,147.41,0.31,-0.02,3521247,0.48,2.35,-0.48,-6.23,2.58,6.22,52.2,0.87,1.12,-1.43,-0.13,-6.25
ICLN,12.29,12.39,0.32,-0.49,1644001,0.33,3.08,-5.49,-13.3,-17.23,-19.49,44.0,2.04,1.73,-6.51,-10.26,-21.23
VTV,181.56,181.87,0.34,0.16,625429,0.35,1.73,4.95,5.22,12.84,20.91,68.7,0.79,0.85,3.37,9.89,0.0
IWM,242.37,241.87,0.38,0.59,16782715,0.57,3.17,9.23,9.9,17.54,21.23,66.2,1.69,1.67,7.1,14.36,-0.22
XLE,45.71,45.84,0.43,0.15,14210135,0.56,-1.64,8.51,5.52,4.18,15.5,60.2,1.13,1.41,4.25,5.94,-1.79
XLB,45.99,46.22,0.51,0.01,4372790,0.49,1.29,0.15,0.98,4.51,12.43,55.5,0.84,1.09,0.08,4.36,-2.92
XLP,82.77,83.22,0.51,-0.04,4982582,0.54,2.63,3.66,0.86,7.6,14.25,66.6,0.66,0.91,2.11,6.07,-1.23
AIRR,85.67,85.46,0.51,0.75,227516,0.32,1.54,12.31,16.81,17.52,49.07,65.6,2.11,1.81,8.95,21.11,-0.73
DIA,448.3,450.09,0.52,0.13,3474056,0.88,2.53,6.72,8.14,16.14,19.36,70.2,0.98,0.99,4.8,11.56,0.0
VOO,549.53,551.68,0.53,0.13,4001490,0.8,1.43,3.81,7.17,14.97,28.78,66.0,0.88,0.91,3.42,11.11,0.0
XLC,97.78,98.4,0.54,-0.09,1960531,0.56,1.35,5.98,12.69,18.18,36.19,71.2,0.89,1.09,6.04,14.94,0.0
