ticker,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
UNG,13.33,13.35,-4.03,-4.17,9391292,1.06,-2.63,-12.63,-20.91,-18.05,-21.52,33.7,2.8,4.45,-15.46,-20.69,-43.98
SLV,34.12,33.51,-3.32,-1.56,35325633,1.46,-6.11,2.13,12.34,21.28,24.43,45.1,1.57,1.78,1.76,11.94,-6.19
TAN,38.13,37.56,-2.24,-0.76,535503,0.75,-4.35,9.63,26.85,15.04,8.15,51.6,2.17,2.64,6.18,10.03,-12.87
LIT,42.66,41.99,-2.21,-0.65,458331,1.11,-3.4,9.35,14.32,1.7,4.66,55.6,2.08,2.18,7.42,3.11,-14.25
XLB,44.68,43.99,-2.02,-0.47,23864013,1.7,-3.68,1.18,7.0,1.09,7.83,44.7,1.18,1.41,0.29,1.43,-7.61
GLD,304.37,300.96,-1.73,-0.61,13459595,1.46,-3.59,-1.27,-1.67,17.94,22.63,39.6,0.83,1.21,-2.17,9.19,-4.85
PBW,23.25,22.89,-1.68,-0.13,379320,1.17,-7.03,14.91,46.45,13.37,9.57,54.2,2.2,2.98,11.15,19.06,-7.74
XLE,43.48,43.1,-1.43,-0.56,27007123,0.82,1.0,3.38,6.85,-0.47,2.8,54.5,1.14,1.63,2.8,1.13,-7.65
XLRE,42.66,42.15,-1.4,-0.21,9908166,1.53,-1.63,1.76,2.53,1.69,4.62,51.7,0.88,1.34,0.89,0.48,-7.08
ICLN,13.61,13.55,-1.31,-0.87,4485295,1.5,-2.8,3.36,13.67,22.4,16.81,51.8,1.19,1.43,2.78,11.04,-8.26
IWN,164.75,162.19,-1.28,0.28,1456749,1.24,-3.33,2.81,11.17,-3.44,-1.06,49.9,1.2,1.56,2.54,0.9,-10.57
EWL,53.79,53.48,-1.18,-0.62,552238,1.33,-4.84,-2.43,-0.35,7.58,16.64,40.6,0.99,1.21,-2.36,4.32,-4.96
EWH,20.96,20.94,-1.18,-1.09,5877756,1.58,0.62,5.44,22.03,26.83,27.68,68.0,0.73,1.0,5.73,16.91,-1.18
FXI,37.97,37.78,-1.15,-0.65,37056839,1.45,-3.33,2.77,11.78,18.21,26.4,53.3,0.94,1.21,2.63,11.67,-3.33
VGK,76.84,76.5,-1.09,-0.64,2850096,0.95,-3.86,-1.29,4.82,13.67,21.06,43.4,0.88,1.09,-0.96,8.28,-3.86
EWQ,42.86,42.47,-1.03,-0.12,463594,1.6,-4.35,-0.77,3.74,9.6,19.5,45.4,1.2,1.31,-0.83,7.0,-4.35
XLP,81.2,80.47,-0.89,0.01,16485524,1.08,-1.45,-0.62,-0.95,2.17,2.68,44.2,0.65,1.03,-1.15,-0.35,-4.5
EFV,64.11,63.73,-0.89,-0.3,1936418,0.94,-3.25,0.39,4.05,16.21,21.92,49.3,0.97,1.05,0.22,9.52,-3.25
EWU,40.12,40.04,-0.87,-0.67,1585580,0.95,-2.1,0.81,4.41,13.33,18.39,50.3,0.76,0.96,0.32,7.98,-2.1
EZU,59.01,58.81,-0.86,-0.53,2249930,0.9,-3.34,-1.08,5.21,16.69,25.58,45.8,0.94,1.17,-0.63,10.47,-3.34
XHE,78.9,78.34,-0.8,-0.09,5639,0.16,-2.07,-3.53,-2.07,-17.94,-11.95,44.5,1.4,1.58,-2.65,-8.45,-18.16
PHO,70.82,70.34,-0.75,-0.07,47013,1.28,-0.9,0.62,8.33,2.75,7.65,49.9,0.74,1.07,0.94,3.68,-2.5
EEM,49.04,48.84,-0.73,-0.33,37855503,1.66,-2.18,1.24,11.89,14.97,16.95,53.9,0.59,0.82,2.4,9.81,-2.18
