ticker,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
TAN,23.8,23.53,-1.47,-0.33,806758,2.47,-4.68,0.5,10.45,31.49,42.75,48.6,1.4,1.76,3.62,18.88,-4.68
ITA,88.37,86.96,-1.43,0.16,520050,1.22,1.13,1.64,7.86,16.65,29.77,56.7,0.86,1.05,1.23,12.19,-1.43
PPA,51.38,50.81,-1.37,-0.26,156198,1.9,1.1,1.32,7.88,15.48,27.0,57.4,0.75,0.89,1.42,11.79,-1.37
XAR,79.49,78.31,-1.37,0.11,124686,1.02,0.79,0.22,7.9,16.18,27.93,53.6,0.98,1.11,0.5,11.71,-1.46
XLI,67.95,67.22,-1.23,-0.17,32506010,3.33,3.05,2.94,7.9,9.29,19.22,64.8,0.76,0.91,2.59,8.29,-1.23
SOXX,53.15,53.08,-1.09,-0.96,5226312,2.19,-6.08,-0.82,12.74,14.44,40.25,42.5,1.41,1.78,0.92,14.72,-6.08
XSD,68.8,68.55,-1.07,-0.7,220604,1.36,-5.55,0.13,9.6,8.82,25.24,44.9,1.52,1.81,1.47,10.31,-5.64
XHE,66.07,65.53,-0.98,-0.15,19682,1.01,-0.2,4.24,7.03,11.75,32.84,60.3,0.73,1.1,3.19,10.12,-0.98
PHO,29.9,29.65,-0.92,-0.07,36328,0.24,1.72,3.21,11.34,11.1,22.3,67.6,0.59,0.9,3.47,10.74,-0.92
EWG,29.18,29.17,-0.88,-0.84,5471591,1.88,-1.12,-1.2,6.8,6.55,26.73,50.5,0.68,0.87,0.59,8.01,-1.65
SMH,46.31,46.25,-0.87,-0.75,21352071,2.34,-6.04,-1.93,11.66,14.17,38.49,41.8,1.45,1.72,0.2,13.87,-6.04
GRID,47.19,47.02,-0.86,-0.5,1954,0.43,-1.49,-1.57,6.06,14.84,24.66,47.1,0.77,0.84,-0.44,10.3,-2.21
LIT,36.56,36.3,-0.85,-0.15,642949,0.91,-2.22,-0.78,15.72,32.19,59.55,49.3,1.21,1.53,0.94,22.68,-2.8
XLB,25.25,25.0,-0.82,0.18,19322902,2.09,0.39,-0.37,7.14,11.14,19.73,56.5,0.62,0.91,1.42,8.47,-0.82
ICLN,8.32,8.26,-0.81,-0.04,59049,0.53,-2.03,-4.93,-3.48,3.23,12.81,37.2,0.94,1.07,-2.92,0.77,-5.23
FXI,40.96,40.85,-0.78,-0.52,22079614,1.5,-4.44,-0.91,3.5,14.2,30.91,43.2,1.13,1.31,-0.49,9.7,-5.19
EWP,28.83,28.82,-0.77,-0.71,1067816,0.98,0.69,-1.27,-1.07,0.46,25.49,55.5,0.73,1.07,0.86,3.44,-3.75
EZU,38.49,38.43,-0.69,-0.55,7382857,1.12,-0.94,-1.19,3.55,5.9,27.16,50.4,0.58,0.79,0.11,7.03,-1.56
AIRR,26.75,26.69,-0.66,-0.44,12526,0.44,2.87,1.74,13.1,15.58,13.46,61.7,1.04,1.38,2.87,10.77,-0.77
PAVE,15.65,15.56,-0.61,-0.04,10184,0.83,2.83,3.21,10.53,10.92,10.42,66.3,0.82,1.04,3.39,,-0.61
EWQ,27.31,27.3,-0.61,-0.58,1571016,2.68,-1.05,-0.57,4.59,6.99,28.56,52.9,0.61,0.76,0.48,8.16,-1.05
PBW,23.17,22.92,-0.6,0.45,26965,1.78,-1.48,0.97,12.57,20.43,35.53,52.1,1.05,1.53,1.96,13.9,-2.33
IHI,29.15,28.99,-0.6,-0.05,1532287,3.69,-0.26,2.89,6.51,7.65,32.51,59.7,0.7,0.95,2.85,8.58,-0.6
IJR,71.97,71.6,-0.59,-0.07,4606318,1.42,1.2,3.62,11.08,11.49,12.45,66.2,0.75,1.2,3.21,9.36,-0.62
EEM,38.87,38.75,-0.56,-0.26,104524183,1.68,-3.92,-1.46,1.51,10.41,29.98,42.6,0.92,1.08,-0.6,7.52,-4.12
IWO,181.32,180.12,-0.56,0.11,1315238,1.75,0.6,3.12,8.95,11.67,20.8,63.6,0.72,1.18,2.81,9.95,-0.56
XLK,29.2,29.23,-0.52,-0.62,41737131,1.88,-1.53,0.87,8.43,11.8,31.67,53.7,0.78,1.03,2.89,11.72,-1.86
NLR,46.63,46.45,-0.5,-0.11,1581,0.82,0.52,0.7,3.41,9.05,14.09,57.7,0.45,0.54,1.83,6.92,-0.5
EWJ,54.81,54.78,-0.45,-0.39,16283983,1.7,-0.68,1.12,9.46,9.76,21.85,59.2,0.64,0.77,2.96,9.99,-0.68
QQQ,146.4,146.69,-0.42,-0.63,62128198,2.03,-1.11,1.59,6.08,8.24,30.14,56.0,0.66,0.93,2.76,9.61,-1.32
VGK,49.41,49.42,-0.41,-0.42,5975779,1.6,-0.63,-0.36,3.01,4.96,24.14,52.6,0.52,0.69,0.2,6.14,-0.92
EFA,61.04,61.03,-0.4,-0.38,38180088,1.87,-0.73,0.19,4.24,6.15,22.15,54.4,0.47,0.63,0.92,6.66,-0.73
IWM,144.37,143.77,-0.4,0.01,66758567,2.39,1.38,3.21,9.17,10.87,14.01,67.8,0.64,1.12,2.75,8.71,-0.4
