ticker,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
USO,277.68,277.12,-0.94,-0.74,777207,1.08,-1.17,2.18,-9.11,-0.35,2.42,50.7,0.94,1.25,-0.87,-1.73,-11.99
EWJ,40.89,40.85,-0.83,-0.75,12266044,1.19,-1.25,-1.25,0.35,6.2,18.53,42.0,0.67,0.95,-1.13,2.81,-3.44
XBI,40.22,39.9,-0.39,0.43,554341,0.61,-3.96,2.58,-3.97,17.72,35.14,45.5,1.48,2.29,0.06,7.34,-6.63
EWU,27.32,27.24,-0.39,-0.1,1599149,1.2,-2.35,-1.72,-0.24,6.72,10.18,36.9,0.64,0.89,-1.76,4.17,-3.65
DBC,24.72,24.67,-0.39,-0.2,1631160,0.86,-1.36,0.44,-2.39,-3.68,-8.93,42.8,0.46,0.72,-1.09,-2.77,-11.19
XLE,26.85,26.82,-0.33,-0.23,38609739,1.22,-1.48,-1.77,1.89,6.01,18.24,40.4,0.57,1.15,-1.09,4.37,-3.52
XLK,14.78,14.66,-0.32,0.5,11323067,0.87,-1.78,-0.35,6.68,9.04,16.33,48.5,0.47,0.83,1.46,7.83,-2.1
NLR,36.43,36.46,-0.3,-0.38,6265,1.16,-2.68,-0.13,4.21,6.61,10.84,43.0,0.84,0.95,-0.31,5.58,-3.72
EWZ,34.4,34.22,-0.27,0.25,11243984,0.6,-1.94,-5.49,-5.12,-4.58,-20.63,35.1,1.53,2.0,-7.89,-8.49,-21.59
SOXX,20.39,20.29,-0.2,0.32,155622,0.5,-1.92,-0.25,3.55,7.89,27.98,48.6,0.72,1.01,0.62,7.77,-2.15
EWL,25.86,25.77,-0.19,0.17,538980,1.17,-2.5,-2.34,2.32,5.92,17.31,36.5,0.63,0.88,-1.75,3.65,-4.4
XSD,27.41,27.32,-0.16,0.15,37365,0.91,-2.15,-1.45,0.34,7.69,22.86,46.5,0.92,1.27,-0.36,6.11,-3.1
SMH,18.07,17.97,-0.16,0.4,1219537,0.42,-1.85,-0.34,2.66,6.99,21.6,47.6,0.67,1.14,0.13,6.51,-2.3
XLP,33.48,33.32,-0.16,0.3,7521192,0.94,-1.88,-1.62,3.53,4.28,20.2,43.2,0.61,0.92,0.14,4.07,-2.45
XLU,12.6,12.57,-0.15,0.13,18497995,0.72,-2.42,-3.32,1.52,0.36,8.53,37.5,0.66,1.23,-2.32,-1.53,-7.65
EFV,39.73,39.74,-0.13,-0.15,101587,0.55,-1.92,-2.34,1.61,8.65,13.28,36.0,0.6,0.81,-2.26,4.97,-4.45
QQQ,77.36,76.9,-0.13,0.47,37597933,1.17,-1.34,1.57,9.32,16.98,27.34,55.2,0.56,0.87,2.48,12.57,-1.74
IBB,70.99,70.58,-0.1,0.47,1839712,0.74,-2.93,3.64,3.42,23.78,52.24,49.4,1.2,1.74,2.27,14.02,-4.11
