ticker,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
VXX,524.64,507.68,-5.79,-2.64,1520316,0.98,-9.99,-23.0,-44.22,-52.19,-56.53,35.3,6.04,6.77,-18.99,-53.46,-80.94
AIRR,42.64,41.72,-1.67,0.49,25110,0.39,-0.12,-0.07,0.42,25.79,25.45,50.8,1.5,1.66,0.61,19.51,-2.45
IJR,113.21,111.07,-1.57,0.32,2708788,0.83,0.15,3.51,0.02,27.43,25.13,53.9,1.37,1.6,2.27,20.21,-2.31
IWN,168.86,165.81,-1.49,0.32,1443387,1.03,-0.05,4.44,2.09,31.79,31.29,56.9,1.41,1.75,3.77,24.36,-2.14
PBW,86.79,85.46,-1.24,0.3,557897,1.17,3.34,14.22,-18.64,-5.15,-14.91,58.8,2.27,3.44,2.62,-0.81,-35.05
XLF,37.06,36.32,-1.17,0.85,55260951,1.22,-2.74,0.65,8.9,30.97,28.9,48.3,0.88,1.46,2.14,22.92,-2.99
PAVE,26.34,25.98,-1.02,0.38,1479570,0.98,-1.4,-2.46,6.85,24.83,25.25,48.0,1.26,1.62,0.47,20.08,-3.64
IWM,228.05,225.68,-0.74,0.3,29532176,1.22,1.41,4.87,-0.93,20.95,18.9,58.2,1.27,1.59,2.72,16.79,-1.86
XLB,39.54,39.01,-0.6,0.76,13493724,0.9,-2.19,-2.25,9.79,20.76,20.17,47.1,1.04,1.38,1.49,16.53,-3.25
XLI,102.14,101.0,-0.5,0.63,10887971,1.02,-1.62,-0.58,8.52,16.64,19.92,47.9,0.97,1.19,0.77,15.07,-2.1
EWQ,36.79,36.8,-0.41,-0.44,861370,0.73,1.0,4.9,11.07,18.18,16.94,63.7,0.82,0.85,4.67,18.28,-0.41
EWP,29.08,29.05,-0.37,-0.27,1019451,1.19,0.13,2.38,9.65,9.5,11.59,57.1,0.78,0.92,3.78,15.14,-1.14
VB,222.69,221.48,-0.29,0.25,314028,0.56,1.28,3.41,3.04,19.92,18.26,58.9,1.11,1.29,2.41,16.32,-0.95
ITA,110.96,109.87,-0.15,0.84,67465,0.37,0.31,5.66,8.74,15.45,22.97,61.7,1.23,1.33,4.25,17.88,-1.4
XLE,23.59,23.24,-0.12,1.35,68563779,1.0,0.34,6.31,5.05,41.33,47.95,64.6,1.62,2.26,8.45,34.0,-0.75
PHO,52.94,52.6,-0.09,0.55,38258,0.45,0.42,-0.08,8.73,16.72,15.52,54.3,1.09,1.0,1.47,13.33,-0.98
UUP,22.63,22.58,-0.08,0.16,825901,0.94,-0.41,-0.08,-1.54,-1.26,-0.12,46.0,0.34,0.39,-0.91,-1.92,-8.15
IWD,157.58,156.66,-0.07,0.52,2733996,1.0,-0.36,0.98,7.12,19.46,19.92,56.1,0.73,0.88,1.85,16.01,-0.8
EZU,49.46,49.51,-0.06,-0.16,3875510,0.67,0.95,4.63,10.0,17.51,14.91,62.9,0.82,0.86,3.91,16.49,-0.37
GRID,89.99,89.98,-0.05,-0.04,37931,1.4,1.04,5.31,4.78,19.11,13.54,60.5,1.04,1.09,3.0,15.96,-0.57
VTV,136.06,135.32,-0.04,0.51,2982674,0.96,-0.32,0.98,7.99,19.38,20.08,58.0,0.65,0.84,2.24,16.12,-0.64
XAR,132.54,131.72,-0.02,0.6,33920,0.73,1.58,7.18,6.52,14.84,21.09,63.7,1.24,1.38,4.31,18.78,-1.42
MDY,492.15,489.44,-0.01,0.54,1013538,0.85,0.71,0.86,4.45,22.09,20.81,53.9,1.07,1.21,1.0,16.8,-1.26
IJH,52.47,52.17,0.0,0.58,5594222,0.86,0.68,0.85,4.47,22.21,20.9,54.0,1.06,1.21,1.01,16.87,-1.27
UNG,44.48,44.36,0.0,0.27,341889,0.7,3.07,4.72,11.23,25.45,17.35,62.8,1.81,2.31,7.46,3.66,-23.41
EWG,34.16,34.22,0.03,-0.14,2642595,0.75,0.42,4.12,8.5,16.19,12.29,58.3,0.83,0.93,2.71,12.82,-1.01
EWH,26.6,26.57,0.04,0.15,2622325,0.66,-0.44,0.85,1.11,14.23,9.93,47.9,0.65,0.78,0.26,9.39,-2.64
DIA,345.47,343.91,0.06,0.51,3098946,0.89,-0.3,0.6,6.07,14.24,14.19,54.4,0.69,0.86,1.14,11.59,-0.84
PPA,76.29,75.93,0.09,0.56,14158,0.87,0.42,2.82,8.31,13.72,17.46,58.8,1.04,1.06,2.54,15.33,-0.81
EFV,52.12,52.01,0.11,0.33,1798909,0.59,0.46,2.54,6.57,16.85,14.98,61.6,0.65,0.78,3.0,14.97,-0.42
VGK,65.69,65.82,0.13,-0.07,4862105,0.87,1.23,4.53,10.3,18.4,15.11,66.0,0.73,0.79,4.23,16.38,-0.06
IWO,301.89,301.76,0.17,0.21,384078,0.66,3.25,5.39,-3.99,10.69,7.69,59.2,1.25,1.7,1.66,9.36,-9.62
ROBO,63.72,63.87,0.17,-0.06,149783,1.39,0.96,3.01,-0.78,10.03,5.23,53.7,1.29,1.36,0.09,8.07,-10.58
HYG,85.62,85.71,0.18,0.08,15625465,0.78,0.59,0.63,1.36,1.74,0.87,61.9,0.22,0.25,0.46,2.02,0.0
RSP,148.64,148.27,0.19,0.44,1798140,0.71,0.18,1.66,8.51,20.69,21.32,59.9,0.78,0.87,2.31,17.46,-0.31
NLR,54.25,54.38,0.26,0.02,2152,0.57,1.47,1.61,9.28,16.96,13.75,63.2,0.89,0.87,2.75,12.88,0.0
EFA,78.76,78.9,0.27,0.1,16956191,0.86,1.14,3.78,7.65,14.55,11.69,64.7,0.7,0.77,3.35,13.09,-0.04
EWL,48.44,48.62,0.3,-0.08,1411701,1.23,3.23,8.42,14.28,16.34,11.83,78.1,0.62,0.81,6.97,14.25,0.0
EWZ,38.91,38.83,0.32,0.52,40529900,1.24,1.67,8.38,23.32,15.41,13.54,69.8,1.73,1.98,12.79,23.15,-0.78
EFG,107.01,107.44,0.33,-0.07,453932,1.27,1.83,5.16,8.87,12.19,7.74,66.0,0.84,0.86,3.71,10.91,0.0
ARKX,20.61,20.63,0.34,0.24,249715,0.58,0.49,4.4,,,0.29,60.1,1.03,1.26,0.9,,-2.41
DBC,19.32,19.28,0.36,0.57,2445861,0.74,2.17,2.55,10.17,37.13,31.87,66.9,1.17,1.31,6.88,24.78,-0.1
ICLN,22.02,22.18,0.4,-0.31,2714822,0.59,1.67,4.81,-12.44,-5.32,-21.69,49.2,1.53,2.16,-1.6,-4.42,-32.77
EWU,32.1,32.05,0.42,0.57,5991466,2.06,0.54,2.04,7.71,16.13,14.87,58.3,0.65,0.9,2.94,15.11,-0.31
EWJ,67.26,67.23,0.42,0.47,9911333,1.62,0.7,2.26,1.83,6.62,3.78,56.4,1.06,0.94,1.19,5.74,-3.59
GLD,176.7,177.74,0.43,-0.16,9896612,1.1,1.41,3.25,10.04,1.28,-2.52,62.4,0.7,0.93,4.44,2.8,-8.33
VTI,215.6,215.76,0.44,0.37,2999418,0.86,1.32,2.76,6.82,15.55,15.24,62.3,0.82,0.88,2.15,13.24,0.0
BOTZ,34.41,34.53,0.44,0.09,418459,0.92,1.02,5.06,3.87,7.17,5.06,57.6,1.41,1.41,1.74,7.94,-4.91
LQD,130.96,131.77,0.45,-0.17,16647517,1.47,1.84,2.29,2.77,-2.09,-2.62,68.4,0.36,0.45,1.76,-0.01,-3.42
SPY,399.54,400.16,0.46,0.31,54010381,0.81,1.15,2.27,8.0,15.3,15.24,61.9,0.79,0.85,2.03,12.85,0.0
VOO,367.7,368.23,0.47,0.32,2762122,0.72,1.15,2.25,8.0,15.35,15.27,61.9,0.79,0.85,2.04,12.89,0.0
XLY,82.63,82.87,0.47,0.18,5430964,0.64,1.53,-0.13,3.76,9.87,8.23,51.1,1.08,1.23,-0.88,6.67,-4.22
USO,47.99,47.83,0.53,0.86,8677273,1.66,1.83,6.6,7.24,52.28,47.71,67.5,1.7,1.99,8.91,32.99,-0.1
XLC,78.38,78.72,0.54,0.1,2501805,0.68,2.11,4.13,6.62,18.85,20.12,62.4,0.99,1.21,3.32,15.96,0.0
FXI,45.33,45.47,0.54,0.24,13278066,0.8,0.02,3.58,-6.38,0.95,0.07,51.9,1.2,1.27,0.22,-0.15,-14.94
TLT,120.27,121.72,0.6,-0.6,23065552,1.69,3.28,4.16,2.97,-8.71,-8.92,69.5,0.6,0.84,3.12,-4.54,-15.93
XLP,67.97,68.27,0.63,0.19,8529598,0.85,-0.52,0.48,8.65,6.11,6.84,53.6,0.62,0.92,1.22,7.03,-0.87
XLU,28.37,28.53,0.66,0.08,19250743,0.82,0.72,0.11,7.91,7.1,8.72,54.8,0.91,1.2,0.42,5.77,-2.6
XLK,67.65,68.01,0.74,0.21,11700562,0.82,2.73,4.46,6.86,11.79,10.58,60.3,1.19,1.37,1.71,10.13,-1.6
SLV,25.74,25.97,0.74,-0.16,24057233,0.97,2.0,1.17,7.09,13.8,2.45,56.8,1.31,1.78,4.72,8.47,-3.81
EEM,50.56,50.78,0.8,0.36,31216848,0.83,0.42,4.04,1.37,10.68,7.16,59.7,1.09,1.12,2.89,9.4,-3.86
VUG,44.21,44.56,0.95,0.17,4090974,0.94,2.65,3.86,7.21,10.96,10.24,61.9,1.04,1.16,1.89,9.8,-0.96
XBI,134.55,136.09,1.02,-0.12,5077376,0.79,7.36,8.78,-7.37,-2.73,-3.42,63.7,1.65,2.74,4.31,2.5,-21.76
XLRE,43.36,43.79,1.02,0.04,3988224,0.76,2.72,8.73,20.36,27.17,30.54,81.2,0.88,1.12,8.23,21.53,0.0
URA,21.94,22.05,1.03,0.51,568858,0.64,3.67,7.81,27.57,71.74,51.45,65.6,2.09,2.66,12.51,48.06,-0.72
QQQ,328.98,332.07,1.04,0.1,34543102,0.91,3.14,4.63,7.15,10.74,10.18,62.4,1.11,1.3,2.25,10.2,-0.49
XSD,178.5,179.6,1.06,0.44,17737,0.3,2.84,8.45,-1.8,9.04,6.24,57.3,1.72,2.17,1.14,10.31,-10.17
IWF,62.8,63.33,1.07,0.24,9083457,1.63,3.0,3.98,7.8,10.8,9.88,62.7,1.0,1.14,2.17,9.81,-0.57
SOXX,139.55,140.71,1.15,0.32,2222929,0.65,1.71,7.4,6.69,13.87,15.14,56.9,1.69,2.11,1.78,14.79,-3.24
EWY,90.23,90.75,1.23,0.66,3175764,0.96,-0.04,0.59,4.43,14.76,4.94,53.6,1.46,1.28,0.99,12.9,-3.68
EWT,52.46,52.61,1.23,0.94,2239464,0.57,0.48,4.84,7.5,22.96,18.05,57.0,2.3,1.62,2.61,17.63,-2.83
SMH,121.67,123.23,1.31,0.02,6680136,0.77,1.87,7.44,7.18,14.22,14.5,57.9,1.65,2.05,2.25,15.2,-2.55
XHE,122.7,124.04,1.32,0.22,20092,0.79,4.55,5.01,3.27,13.31,9.58,63.4,1.02,1.52,2.33,10.25,-3.78
LIT,69.09,68.81,1.5,1.91,688909,1.18,2.81,14.0,11.14,23.26,4.12,68.8,1.52,1.87,10.1,22.8,-7.11
IBB,159.99,162.63,1.69,0.04,2788457,0.72,8.18,10.41,4.81,8.65,8.56,74.4,1.2,2.09,7.41,9.88,-5.35
XLV,120.86,122.63,1.7,0.24,9565022,0.99,3.07,2.07,10.07,12.14,11.45,65.0,0.73,1.09,3.02,10.8,0.0
IHI,56.47,57.37,1.86,0.27,1029073,0.54,3.35,1.1,5.84,9.37,6.67,56.4,1.12,1.36,0.42,6.54,-4.52
ARKK,111.84,114.34,1.87,-0.36,7223681,0.63,7.01,8.34,-10.66,-4.7,-7.8,56.7,2.24,3.26,-0.12,-0.3,-26.58
ARKG,84.58,86.77,2.71,0.12,4771508,1.59,10.27,13.49,-6.32,-7.37,-6.26,64.4,1.85,3.06,3.84,3.84,-22.37
TAN,77.15,78.72,2.75,0.7,1281299,1.0,4.18,7.85,-20.3,-6.45,-25.0,51.8,2.38,3.47,-2.58,-7.01,-35.44
