ticker,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
UNG,64.36,64.28,-5.19,-5.07,2881176,1.27,-0.25,1.45,33.36,0.63,25.84,52.3,3.48,5.65,8.73,7.61,-26.22
IHI,57.76,56.19,-3.16,-0.45,1807259,1.09,-4.07,-5.88,-9.81,-15.65,-13.81,37.2,1.68,2.46,-6.7,-9.31,-15.99
XLP,73.21,71.16,-2.7,0.11,30262383,1.56,-2.66,-4.49,0.2,2.0,-5.99,35.8,1.23,1.89,-4.51,0.69,-6.62
XHE,105.83,103.44,-2.54,-0.29,41313,0.92,-5.0,0.32,-8.35,-22.12,-13.45,44.0,2.18,2.78,-3.8,-14.01,-22.41
PPA,76.14,74.18,-2.45,0.12,567569,1.47,-2.83,6.28,6.39,3.1,2.86,53.9,1.67,2.21,2.77,2.02,-3.88
XAR,120.86,117.62,-2.19,0.51,440863,1.32,-3.1,7.29,3.18,-1.65,0.6,53.1,2.08,2.73,2.43,-2.51,-13.27
XLV,127.88,126.11,-2.04,-0.66,22043756,1.57,-1.3,-3.59,-2.34,-5.56,-8.53,41.4,1.25,1.86,-3.74,-2.29,-9.86
ITA,106.59,104.2,-1.93,0.33,1205858,1.61,-5.11,2.57,4.24,1.53,1.25,47.2,1.75,2.6,0.15,-0.6,-6.49
XLU,31.87,31.3,-1.54,0.27,60008037,1.34,4.99,3.24,4.14,4.71,-0.24,62.4,1.32,1.91,2.96,6.3,-1.54
PHO,50.18,49.48,-1.47,-0.08,214339,1.25,-2.28,-5.11,-15.46,-15.67,-17.07,36.1,1.45,2.3,-8.1,-11.2,-18.47
EWJ,57.86,57.62,-1.44,-1.02,14192093,1.75,-6.28,-9.41,-12.54,-18.76,-13.2,24.1,1.24,1.74,-9.96,-13.28,-20.47
FXI,31.45,31.13,-1.42,-0.41,62852821,1.64,-10.22,-17.67,-17.18,-25.51,-14.45,19.9,1.45,2.68,-14.65,-21.68,-35.9
VXX,452.16,450.4,-1.19,-0.81,5541729,1.22,5.55,34.05,9.19,10.18,57.26,64.8,6.46,7.42,30.42,10.78,-51.73
TLT,118.79,119.01,-1.01,-1.19,32797890,1.19,-2.49,-0.76,-9.15,-5.52,-4.27,46.9,1.33,1.59,-2.11,-4.58,-10.39
VTV,139.96,138.08,-0.98,0.36,5347730,1.23,-0.74,-3.91,-0.38,1.33,-4.78,40.1,1.23,1.85,-3.55,-0.04,-6.44
XLRE,44.8,44.39,-0.9,0.02,10709864,1.49,0.95,-2.74,-5.56,-4.42,-11.53,45.8,1.45,2.14,-4.0,-2.11,-12.35
IWD,156.54,154.82,-0.81,0.29,5800297,1.43,-1.46,-4.61,-2.78,-2.15,-6.75,37.9,1.25,1.94,-4.53,-2.62,-7.84
SPY,400.37,397.16,-0.76,0.04,172694138,1.31,-3.19,-7.23,-8.95,-7.18,-12.87,34.9,1.46,2.32,-7.41,-6.19,-12.87
VOO,368.56,365.63,-0.76,0.04,9792956,0.97,-3.2,-7.23,-8.94,-7.15,-12.87,34.9,1.46,2.31,-7.41,-6.18,-12.87
RSP,147.55,146.19,-0.71,0.21,5735035,1.18,-2.2,-4.8,-5.16,-4.07,-8.98,37.7,1.44,2.18,-5.44,-4.0,-9.71
ARKX,16.39,16.35,-0.61,-0.36,166669,0.71,-4.44,0.77,-13.49,-22.71,-13.72,44.6,2.13,3.11,-4.26,-15.91,-23.04
XLI,96.72,95.89,-0.61,0.25,22598105,1.41,-1.32,-3.01,-6.22,-4.87,-7.47,41.1,1.43,2.24,-4.69,-5.2,-9.3
LQD,120.39,120.47,-0.6,-0.67,20200804,0.91,-2.85,-3.22,-8.93,-9.28,-7.4,32.0,0.71,0.88,-4.42,-7.89,-10.59
DIA,328.04,326.08,-0.59,0.01,8221275,1.13,-1.99,-6.94,-7.38,-6.99,-10.64,33.6,1.26,2.01,-6.66,-6.67,-11.17
XLF,35.51,35.15,-0.58,0.42,116573047,1.4,-3.88,-11.07,-7.21,-4.91,-9.79,31.3,1.78,2.89,-9.34,-6.7,-13.91
VTI,208.69,207.69,-0.56,-0.08,6202116,1.14,-3.52,-7.09,-9.97,-9.35,-13.55,35.2,1.53,2.42,-7.6,-7.86,-13.55
IWF,60.69,60.58,-0.56,-0.38,14572273,1.47,-5.69,-9.99,-15.74,-14.8,-19.26,33.5,1.92,3.11,-10.66,-11.91,-19.71
XLB,37.01,36.77,-0.51,0.14,28195484,1.25,-2.07,-4.03,-7.38,-5.06,-10.8,37.2,1.7,2.49,-6.8,-5.44,-11.96
XLK,69.71,69.56,-0.49,-0.27,38079091,1.24,-4.91,-10.04,-13.71,-9.6,-18.2,34.3,2.03,3.28,-10.27,-8.25,-18.73
VUG,41.95,41.77,-0.49,-0.05,8948480,1.13,-6.09,-10.8,-17.4,-16.74,-20.58,32.8,1.96,3.24,-11.48,-13.52,-21.09
