ticker,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
ARKK,44.18,42.5,-3.61,0.2,33850689,0.77,8.39,-15.22,-37.09,-59.57,-56.18,43.9,6.08,8.13,-19.91,-50.65,-67.35
ARKG,32.55,31.16,-3.41,0.9,3807508,0.7,0.81,-12.86,-33.43,-50.52,-50.74,41.9,5.2,6.74,-18.52,-45.82,-66.32
PBW,52.96,51.08,-3.11,0.47,1057070,2.28,6.94,-0.6,-11.42,-38.64,-28.73,50.4,4.79,5.64,-6.87,-24.07,-45.17
IHI,54.44,52.96,-2.39,0.35,1345427,0.88,-0.43,-3.14,-10.98,-13.97,-18.76,43.7,2.04,2.66,-6.65,-13.21,-20.82
LIT,73.47,71.86,-2.3,-0.11,1262587,1.49,1.51,9.53,-4.43,-22.52,-16.3,54.6,2.82,3.24,1.41,-10.15,-25.19
EWL,44.56,43.72,-2.09,-0.22,1176196,0.71,-0.8,-3.27,-6.56,-9.68,-15.69,45.0,1.51,1.7,-4.85,-8.71,-15.88
XHE,91.32,89.09,-2.0,0.45,22068,0.52,1.31,-8.19,-18.93,-21.06,-25.45,42.9,2.96,3.28,-10.79,-21.13,-33.17
XBI,69.24,67.53,-1.82,0.67,12979172,0.74,0.19,-12.05,-24.4,-41.92,-41.5,41.5,4.17,5.33,-14.95,-35.18,-51.31
URA,21.83,21.43,-1.82,0.0,1596880,0.6,2.33,-5.94,-12.72,-9.04,-10.88,46.2,3.62,4.65,-9.96,-8.61,-26.24
BOTZ,23.97,23.38,-1.72,0.75,497207,0.55,4.41,-2.82,-21.18,-35.25,-35.05,48.6,2.72,3.13,-7.14,-27.11,-41.15
EWP,25.79,25.44,-1.68,-0.34,1393306,1.4,-0.39,5.48,2.87,3.48,-2.79,56.4,1.66,1.82,2.3,-1.39,-13.49
VGK,58.0,56.99,-1.66,0.08,6051666,0.82,0.53,1.1,-4.33,-9.14,-14.44,51.5,1.76,1.9,-1.63,-8.85,-15.16
SMH,121.47,118.93,-1.64,0.46,9889898,0.71,7.43,1.7,-10.3,-20.68,-23.78,53.2,3.12,3.89,-1.34,-10.77,-24.01
XLF,35.01,34.54,-1.61,-0.25,49154466,0.63,2.89,1.1,-7.95,-7.27,-11.37,50.8,1.84,2.49,-3.31,-8.19,-15.42
SOXX,139.93,137.01,-1.59,0.51,2516013,0.66,7.82,1.26,-10.89,-20.46,-24.03,52.8,3.18,4.01,-1.65,-10.78,-24.36
