ticker,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
XBI,51.45,50.4,-1.72,0.32,2239149,1.75,3.91,2.03,29.59,34.22,18.82,59.0,2.58,2.87,10.68,25.79,-2.85
TAN,37.63,37.14,-1.07,0.24,420793,0.71,4.51,-0.07,2.58,62.81,9.64,58.7,3.15,3.73,9.73,31.36,-2.74
IBB,85.28,84.33,-0.98,0.14,4331378,1.0,4.53,5.9,23.84,36.35,13.39,64.0,1.96,2.24,9.81,25.67,-0.98
UNG,406.88,399.68,-0.87,0.91,846517,0.55,5.76,18.5,41.29,38.32,19.35,57.1,5.05,5.07,12.64,24.75,-6.55
PBW,28.85,28.59,-0.58,0.31,39114,0.43,4.21,-2.18,0.79,24.42,2.29,56.9,1.96,2.3,4.13,12.52,-3.45
EWJ,39.38,39.72,-0.44,-1.31,9287730,0.74,-0.53,-5.65,-3.99,1.02,-4.7,41.7,1.13,1.33,-3.23,-1.74,-6.27
UUP,19.41,19.4,-0.19,-0.14,583704,0.46,-0.74,-1.24,-1.42,-2.05,-0.74,36.5,0.34,0.36,-0.75,-2.14,-6.28
IWO,127.13,127.32,-0.07,-0.22,1158682,0.64,2.92,-1.76,4.53,14.76,1.11,56.3,1.38,1.55,1.57,9.87,-2.52
TLT,76.65,76.66,0.06,0.05,6953543,0.58,-0.2,2.44,3.52,4.51,4.61,54.0,0.68,0.78,2.17,0.58,-11.94
IJR,46.94,47.09,0.09,-0.24,3335568,1.21,2.71,-2.32,1.76,11.83,-1.24,54.2,1.18,1.37,0.01,7.61,-2.81
USO,285.68,287.28,0.11,-0.45,219411,0.39,0.76,6.34,5.93,-6.09,4.91,68.3,0.77,1.22,3.51,0.95,-8.77
XLF,14.83,14.87,0.12,-0.13,44230986,0.62,1.64,-2.26,4.27,8.8,-0.48,55.9,1.18,1.21,0.73,6.14,-2.26
IWM,101.34,101.72,0.14,-0.23,37456029,0.7,3.0,-1.79,3.62,12.45,-0.05,55.9,1.25,1.43,0.93,8.19,-2.69
HYG,65.47,65.58,0.16,-0.01,3102460,0.44,0.52,0.61,2.74,6.51,1.43,68.1,0.27,0.32,1.32,3.69,0.0
LQD,92.69,92.76,0.18,0.1,1333251,0.57,0.13,1.31,3.39,5.67,1.88,60.7,0.3,0.35,1.41,2.77,-2.25
XLK,15.49,15.53,0.19,-0.08,28736102,1.36,2.76,0.3,5.62,14.36,1.92,64.1,0.94,1.11,2.8,10.21,0.0
QQQ,81.43,81.65,0.2,-0.08,37488139,0.8,2.87,1.62,7.85,19.67,2.9,64.8,1.08,1.19,3.54,13.55,0.0
XSD,30.3,30.45,0.21,-0.27,39050,0.97,4.91,2.82,9.84,17.87,5.95,67.5,1.28,1.47,5.93,12.81,0.0
IHI,15.46,15.53,0.22,-0.2,275095,0.44,3.76,0.8,7.67,18.52,5.66,65.6,1.06,1.09,4.42,13.51,0.0
IWF,19.12,19.21,0.23,-0.26,5589898,0.56,2.44,0.34,4.82,15.02,1.29,61.6,1.06,1.09,2.33,9.69,0.0
XHE,35.63,35.73,0.27,0.0,2553,0.27,3.91,-1.02,7.71,16.17,4.75,60.8,1.12,1.13,3.08,13.55,-1.49
VUG,13.91,13.99,0.29,-0.25,3684961,0.7,2.52,0.88,6.02,15.8,1.81,63.0,1.09,1.11,2.84,10.45,0.0
VB,96.85,97.33,0.29,-0.2,441244,0.8,3.07,-0.69,4.35,13.26,1.24,58.9,1.22,1.29,1.99,9.17,-1.26
EWP,29.9,29.93,0.3,0.2,1079456,0.88,0.57,-3.14,8.46,23.21,5.6,57.2,1.71,1.66,3.91,17.6,-3.14
EWZ,31.59,31.79,0.3,-0.32,19028519,0.86,0.0,-4.74,-12.22,-6.3,-5.9,47.9,1.79,2.35,-3.89,-10.72,-27.17
EFG,60.54,60.86,0.3,-0.21,59567,0.49,1.85,-1.48,1.84,7.01,-0.07,57.2,1.1,1.0,1.02,5.02,-1.94
EWH,15.43,15.46,0.31,0.1,1277884,0.24,3.13,-2.46,0.04,2.26,-2.94,53.3,1.36,1.42,-0.97,1.04,-4.02
EWG,25.72,25.78,0.32,0.09,1607029,0.44,3.68,-0.47,7.65,17.85,2.68,61.8,1.33,1.18,2.93,12.97,-0.59
DBC,24.98,25.05,0.35,0.04,2211266,1.13,1.06,3.45,1.98,-2.53,1.94,69.4,0.44,0.71,1.9,-0.09,-9.07
EFV,41.55,41.78,0.35,-0.19,122953,0.31,2.52,-0.72,2.68,10.41,1.43,59.6,1.16,1.05,2.05,7.21,-0.75
XLV,50.53,50.75,0.36,-0.08,9611513,0.85,3.3,2.24,9.13,18.23,5.59,65.5,1.12,1.22,4.53,12.99,0.0
IJH,22.91,23.01,0.36,-0.08,8622767,0.54,2.97,-0.55,3.65,12.03,1.51,59.4,1.22,1.21,2.02,8.11,-0.93
EFA,52.01,52.26,0.38,-0.11,24537483,0.93,2.1,-0.82,2.62,8.91,0.87,58.9,1.16,1.06,1.76,6.41,-0.96
ROBO,26.29,26.41,0.38,-0.08,65868,0.84,2.76,-2.6,5.21,,-0.4,56.5,1.12,1.29,1.15,,-2.88
LIT,22.65,22.73,0.4,0.08,11782,1.02,3.31,-3.68,1.44,10.41,-0.07,55.0,1.2,2.16,0.54,2.58,-11.79
XAR,45.48,46.02,0.4,-0.78,7425,0.4,2.77,-0.58,10.35,22.75,3.26,60.0,1.31,1.5,2.8,18.12,-2.75
IWN,81.99,82.49,0.41,-0.19,1006328,0.66,3.19,-1.8,2.68,10.18,-1.16,55.3,1.14,1.33,0.3,6.46,-2.77
EWQ,22.6,22.69,0.46,0.03,240257,0.37,2.61,0.75,4.05,9.31,2.71,62.9,1.31,1.15,3.41,8.95,0.0
VGK,43.85,43.99,0.46,0.14,4561614,0.66,2.6,0.22,5.58,12.59,2.78,62.3,1.22,1.07,3.14,10.0,0.0
EWL,27.51,27.66,0.48,-0.03,251777,0.54,1.51,1.73,4.81,10.28,4.22,63.8,1.03,0.97,3.47,8.42,0.0
VTI,81.58,82.01,0.48,-0.04,2624554,0.53,2.51,-0.26,4.12,12.43,0.86,61.0,1.02,1.07,1.89,8.39,-0.32
EWU,28.91,29.03,0.48,0.05,1049302,0.42,2.97,-0.19,4.73,10.91,0.97,60.3,1.2,1.09,2.35,7.78,-1.6
