ticker,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
USO,308.48,304.64,-1.55,-0.31,861456,0.92,-2.03,1.49,13.23,15.22,12.6,48.6,1.3,1.69,0.23,9.51,-3.25
LIT,23.32,23.36,-1.2,-1.34,27211,1.91,3.53,13.58,13.96,-4.97,-10.68,72.5,1.61,2.05,10.08,0.96,-16.09
EWP,25.76,25.67,-0.85,-0.51,1183903,1.49,4.15,8.06,21.79,17.61,15.25,72.2,1.56,1.52,9.51,14.62,-0.85
FXI,31.69,31.68,-0.72,-0.69,29515309,1.15,2.14,9.31,23.97,8.39,-4.59,68.0,1.41,1.66,9.1,6.7,-4.59
EFV,40.07,39.93,-0.67,-0.33,286386,1.88,3.19,6.44,14.75,12.73,13.84,71.4,1.06,1.05,5.88,10.27,-0.67
LQD,89.11,88.58,-0.63,-0.04,6402379,2.01,1.29,1.33,0.61,-3.86,-4.68,54.7,0.63,0.71,0.04,-2.89,-6.65
ICLN,8.23,8.15,-0.61,0.3,22783,0.92,3.27,7.35,14.52,33.34,33.71,64.5,1.43,1.51,4.51,19.26,-0.61
TLT,74.48,74.01,-0.57,0.06,16400487,1.22,1.21,1.36,-4.65,-9.66,-11.04,50.5,0.96,1.21,-0.88,-8.01,-15.75
NLR,35.41,35.31,-0.57,-0.28,12455,1.25,1.05,2.65,7.72,7.26,7.34,57.8,1.02,1.16,0.91,5.41,-3.27
EEM,33.73,33.66,-0.56,-0.35,127988190,1.39,5.26,11.82,18.24,4.33,-3.59,72.2,1.53,1.57,8.78,4.16,-3.59
EWG,23.07,22.94,-0.56,0.0,4209950,1.1,4.16,5.21,12.63,14.98,14.38,71.3,1.15,1.17,5.93,11.64,-0.56
EWQ,21.63,21.56,-0.52,-0.18,1543817,2.25,3.98,4.61,16.19,18.46,17.56,71.4,1.13,1.17,6.11,13.53,-0.52
EWJ,41.75,41.58,-0.5,-0.09,9435594,0.96,3.98,6.95,12.22,12.33,20.64,65.1,1.38,1.43,4.08,10.88,-1.7
EWY,54.73,54.77,-0.49,-0.56,5121144,1.54,4.22,14.58,24.58,11.87,-1.54,76.8,1.4,1.41,11.91,9.83,-1.54
EWU,27.77,27.56,-0.49,0.29,3471866,1.71,2.1,5.32,13.02,12.07,11.46,69.6,0.84,1.05,5.0,9.22,-0.49
SLV,22.39,22.2,-0.49,0.36,16267970,1.33,5.41,0.05,17.03,-21.22,-25.8,53.4,2.7,2.82,6.17,-10.09,-34.57
VGK,41.17,40.94,-0.49,0.08,8379004,1.6,3.3,5.12,14.62,14.81,15.02,71.9,1.03,1.03,5.85,11.35,-0.49
EZU,30.86,30.73,-0.48,-0.05,7781797,1.11,4.11,5.71,16.52,17.52,16.1,72.7,1.17,1.18,6.94,13.33,-0.48
XLU,12.86,12.76,-0.47,0.26,60337020,1.63,4.16,2.38,6.64,1.97,10.23,61.1,0.92,1.35,0.52,2.74,-6.2
EFA,50.7,50.45,-0.47,0.03,24634287,1.32,3.53,5.84,14.38,12.23,14.38,71.4,1.07,1.04,5.58,10.16,-0.47
XLP,32.74,32.53,-0.45,0.18,7848962,0.71,2.82,3.52,6.71,7.35,17.35,67.5,0.62,0.91,1.66,6.41,-0.79
XSD,27.72,27.55,-0.43,0.18,595033,2.74,1.76,5.79,11.11,18.77,23.88,62.6,1.24,1.37,3.52,13.91,-0.43
XLF,14.17,14.05,-0.39,0.44,59249287,1.09,2.32,3.37,7.97,14.57,23.14,63.8,0.86,1.16,1.73,10.68,-1.2
DBC,25.64,25.46,-0.38,0.31,3290794,1.17,-0.83,-0.68,2.38,-3.36,-6.03,47.7,0.82,1.0,-0.04,-2.1,-9.5
XLB,16.96,16.84,-0.35,0.39,15967335,1.08,3.48,6.56,11.36,11.92,13.96,71.1,0.92,1.22,5.7,10.54,-0.35
