ticker,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
EWZ,28.61,27.71,-3.31,-0.18,48051942,1.5,-6.24,-15.13,-15.96,-31.43,-23.1,33.8,2.03,3.05,-7.11,-19.68,-32.28
FXI,39.01,38.68,-1.73,-0.89,41127827,1.42,2.44,-5.21,-9.93,-14.42,-10.96,46.5,1.46,1.86,-2.08,-8.67,-21.24
SLV,13.74,13.65,-1.66,-1.01,6917543,0.94,-0.87,-7.02,-13.0,-12.44,-15.79,31.0,1.25,1.4,-7.23,-11.6,-20.18
EEM,37.26,36.78,-1.62,-0.35,79739427,1.1,1.94,-5.44,-7.31,-13.8,-10.73,43.6,1.18,1.5,-2.37,-8.03,-17.7
ICLN,8.26,8.22,-1.32,-0.92,76424,0.99,1.47,-6.47,-11.56,-8.11,-7.82,40.1,0.92,1.28,-2.95,-6.35,-12.98
EWH,21.74,21.66,-1.23,-0.87,5257340,0.98,0.43,-4.4,-6.95,-5.46,-5.79,42.0,0.98,1.13,-2.05,-4.45,-9.96
LIT,30.05,29.87,-1.22,-0.66,322806,1.21,0.03,-2.62,-5.26,-15.33,-20.54,41.2,1.07,1.47,-2.98,-10.05,-23.27
EWU,29.08,28.85,-1.21,-0.41,1318583,0.69,0.74,-4.08,-5.84,-3.1,-4.82,41.0,0.84,1.07,-2.67,-3.08,-9.17
EWY,61.56,61.21,-1.17,-0.61,1944376,0.77,2.06,-2.2,-11.2,-12.16,-14.0,47.3,1.31,1.41,-1.74,-9.76,-17.45
EFV,44.61,44.43,-1.03,-0.62,1288569,2.82,0.89,-3.38,-4.87,-6.99,-6.2,42.5,0.76,0.93,-1.6,-4.69,-12.31
TAN,21.6,21.3,-1.02,0.36,37560,0.4,2.13,-8.35,-17.28,-13.53,-16.16,39.2,1.32,1.87,-5.55,-11.37,-20.02
GLD,112.68,112.2,-0.94,-0.52,5500102,0.86,0.99,-3.84,-9.22,-11.05,-10.35,35.2,0.65,0.76,-3.8,-8.35,-12.91
EWP,26.81,26.74,-0.92,-0.69,413618,0.69,2.71,-4.18,-5.96,-9.07,-8.11,44.6,1.1,1.25,-2.25,-6.54,-16.0
