ticker,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
KOPN,6.04,5.4,-18.55,-8.9,6744114,4.29,-18.18,-30.5,-31.21,-20.12,129.79,26.2,4.81,9.48,-30.18,-12.39,-60.18
IPGP,180.1,177.69,-18.3,-17.2,1523066,5.06,-11.74,-15.86,-6.23,-23.94,-18.57,31.7,4.64,4.8,-14.43,-16.92,-31.28
VSTM,37.8,34.56,-10.28,-1.87,297735,2.63,-11.93,-26.53,-1.87,41.18,30.91,26.1,3.6,6.97,-26.66,7.66,-40.62
LASR,33.87,31.47,-9.44,-2.53,196010,1.51,-1.5,-14.32,20.07,-6.09,-2.12,44.0,3.37,4.75,-0.76,-1.17,-29.94
MVIS,13.5,12.47,-8.17,-0.59,7135858,1.78,-7.15,-22.01,-19.03,63.54,139.35,33.8,3.83,9.02,-25.65,8.61,-52.84
TCMD,49.96,44.52,-8.02,3.22,181402,1.95,-5.05,-13.05,-16.02,-22.21,-3.57,33.1,2.36,4.77,-12.13,-10.27,-28.75
STTK,21.63,20.1,-7.5,-0.46,98031,0.73,-6.07,-29.52,-42.88,-55.41,-55.38,30.9,3.74,8.52,-23.11,-40.18,-65.11
EDSA,36.33,33.53,-5.89,1.96,13796,2.08,-2.64,-10.97,-26.87,-20.17,11.4,36.5,2.4,5.22,-12.18,-14.6,-48.66
GALT,3.24,2.99,-5.68,2.21,952398,0.16,12.41,-5.68,-25.62,41.71,34.68,50.7,8.46,9.46,-9.38,5.92,-41.37
QS,23.16,21.8,-5.55,0.35,13947684,1.52,1.82,-18.35,-37.19,-48.8,-56.37,38.8,4.32,7.79,-16.29,-45.26,-83.44
CLPT,21.4,20.23,-5.51,-0.05,352485,1.05,0.15,11.28,4.71,-13.21,33.18,55.7,4.04,6.43,7.27,16.7,-30.24
AEVA,44.45,42.1,-5.5,-0.22,184148,0.87,-4.97,-19.89,-13.91,-46.81,-48.66,36.6,4.1,6.89,-17.2,-30.86,-57.9
MVST,8.9,8.45,-5.06,0.0,1516767,0.93,5.36,-41.88,-27.96,-60.51,-45.24,31.7,5.17,10.78,-28.48,-36.29,-65.51
QUIK,5.55,5.3,-4.85,-0.36,63355,1.04,-1.12,-20.66,-12.54,36.6,47.22,38.6,3.94,7.14,-15.68,-1.59,-40.85
ASTS,11.19,10.74,-4.79,-0.8,830805,0.52,-3.24,-18.2,30.82,-25.31,-17.07,46.3,4.49,8.5,2.27,-6.44,-52.27
GSIT,5.55,5.33,-4.48,-0.54,31090,0.47,2.5,-1.11,-7.47,-27.78,-28.36,46.6,2.58,3.98,-5.42,-19.45,-34.84
ASTC,33.3,32.1,-4.46,-0.89,11257,0.37,0.94,-15.08,-9.32,-51.58,-41.53,43.2,2.98,5.92,-8.87,-38.75,-73.58
KURA,18.95,18.15,-4.22,0.0,535547,0.97,-1.84,-14.14,-29.02,-43.76,-46.63,35.9,2.28,4.58,-12.3,-37.68,-56.39
ISSC,6.97,6.68,-4.16,0.0,24931,0.78,-4.71,2.61,11.15,7.05,6.03,48.7,2.58,4.48,5.29,6.04,-12.64
PSNL,20.96,19.96,-4.08,0.72,304102,0.9,-2.16,-19.22,-7.76,-53.1,-42.61,36.9,3.04,6.01,-12.92,-29.75,-60.88
ZVRA,10.34,9.89,-3.98,0.39,411987,0.78,-8.09,-23.63,7.5,52.15,63.47,31.7,3.01,6.52,-18.71,,-36.07
SNDX,14.96,14.41,-3.81,-0.13,338864,0.86,0.7,-18.08,-4.32,-31.25,-35.5,34.3,2.2,4.52,-15.61,-28.62,-45.5
VRDN,15.5,14.45,-3.79,3.2,11399,1.52,-13.47,-18.27,-17.43,-29.51,-15.99,26.7,2.38,6.58,-16.21,-16.8,-42.04
ENVX,15.99,15.46,-3.5,-0.19,447518,0.88,-0.71,-37.31,13.59,4.6,21.25,35.1,4.42,10.25,-16.45,,-37.31
AIRG,17.94,17.32,-3.4,0.06,34833,1.09,-0.12,-13.62,-24.63,-26.27,1.35,38.4,2.53,4.65,-10.77,-9.72,-38.14
J,128.09,124.62,-3.31,-0.62,1080340,2.14,-2.98,-2.3,-6.07,23.27,22.61,40.5,1.51,2.26,-4.49,7.36,-9.57
WKEY,34.45,33.6,-3.31,-0.86,19882,0.3,0.15,-0.88,-17.34,-2.89,7.01,43.2,2.91,5.64,-8.89,-12.04,-67.25
ATRO,14.32,13.78,-3.11,0.76,286796,1.28,-4.62,-7.19,-6.56,26.28,36.16,40.0,3.41,4.98,-7.52,10.4,-19.41
BFLY,10.62,10.38,-3.08,-0.84,1445008,0.76,-4.86,-18.59,-22.42,-46.49,-45.8,34.0,2.99,6.19,-16.95,-31.49,-61.75
BWXT,54.17,53.85,-3.07,-2.49,914247,2.85,-3.82,-5.72,-17.61,-0.87,-5.78,32.1,1.64,2.39,-7.74,-8.31,-18.72
NEON,5.39,5.2,-2.99,0.56,25788,1.18,-7.64,-14.47,-37.87,-36.27,-25.29,27.2,1.82,5.36,-13.42,-31.59,-58.4
OUST,90.8,88.1,-2.97,0.0,64364,0.95,-1.34,-28.55,-17.89,-34.06,-32.23,28.7,3.01,7.34,-23.17,,-45.78
WATT,1554.0,1494.0,-2.92,0.97,1396,0.33,8.73,-8.12,-15.88,-26.76,31.75,48.4,4.17,8.07,-7.13,-15.99,-65.56
