ticker,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
MTSI,47.65,45.5,-25.48,-21.96,7270193,7.77,-30.61,-16.48,-0.37,-1.11,-3.05,25.1,6.15,7.01,-22.55,-8.51,-30.61
ATRO,22.75,20.98,-12.57,-5.18,637510,4.25,-15.65,-18.04,-19.94,-22.86,-25.97,13.8,2.86,3.68,-17.02,-23.14,-45.96
VKTX,1.02,0.93,-9.71,-0.97,695101,2.48,-18.42,-14.68,-32.61,-35.42,-21.85,28.2,3.12,6.7,-17.95,-25.28,-44.97
STRL,13.57,11.82,-9.43,3.98,534366,1.57,-9.01,-14.16,15.43,31.48,41.22,39.7,2.66,5.06,0.24,23.27,-14.16
HY,63.48,56.19,-8.99,2.81,168536,2.91,-8.9,-10.17,-5.84,7.89,-0.22,21.2,2.06,3.25,-10.91,0.56,-15.22
IPWR,26.4,24.8,-7.46,-1.49,25167,0.96,-12.98,16.43,4.2,19.81,-21.27,48.5,5.05,8.53,4.11,-18.01,-55.32
MXL,26.65,24.59,-7.17,0.6,1403602,2.5,-8.52,-10.52,-10.78,-4.76,11.67,29.0,2.51,3.52,-14.18,-3.99,-23.61
CRVO,2024.92,1878.67,-6.7,0.56,162,0.46,-14.9,-30.7,-43.39,-45.42,-27.79,29.7,4.67,12.6,-29.53,,-80.35
NVAX,20.8,19.3,-6.3,0.97,314919,0.59,-11.46,-16.08,23.81,-25.76,-24.01,38.5,9.31,12.34,-14.28,-21.84,-88.43
AAOI,100.0,93.5,-6.13,0.39,4464940,1.03,-5.33,52.3,101.21,202.3,304.76,64.0,3.9,5.78,26.44,102.98,-6.13
NTLA,16.25,15.23,-5.46,0.87,386413,1.56,-10.57,-7.02,9.57,12.9,12.98,43.2,3.44,6.72,2.0,5.95,-37.84
