ticker,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
INVE,2.96,2.64,-28.65,-20.0,731200,6.55,-36.69,-49.62,-68.76,-77.96,-82.14,18.8,7.65,15.28,-51.59,-72.12,-87.42
PWR,24.9,22.78,-15.44,-7.55,13689364,5.32,-16.83,-19.73,-17.46,-18.13,-18.47,19.8,3.62,3.63,-19.32,-20.66,-37.88
BEEM,8.3,8.3,-13.54,-13.54,224,0.16,-17.0,40.68,50.91,44.35,18.57,51.8,14.22,16.03,22.36,22.13,-17.0
LEDS,5.3,4.6,-13.21,0.0,13850,4.32,-16.36,-23.33,-47.07,-61.67,-58.93,36.8,8.3,11.97,-28.43,-43.93,-67.61
ATRO,49.92,43.81,-12.35,-0.12,1379880,6.26,-14.65,-24.62,-23.12,-4.33,-4.89,14.9,2.95,4.73,-23.43,-15.8,-31.37
AMSC,4.7,4.39,-11.31,-5.05,134700,2.05,-13.07,-10.04,-32.57,-40.68,-46.27,35.3,4.18,7.16,-19.54,-41.68,-76.52
POWL,8.05,6.69,-7.73,11.0,1561959,4.18,-8.07,-19.75,-24.18,-26.08,-43.61,17.8,2.23,4.83,-22.25,-29.25,-49.81
KOPN,3.1,2.9,-5.54,0.98,260900,1.5,-1.69,-13.17,-20.98,-22.25,-20.77,38.4,3.54,5.55,-13.57,-19.16,-33.49
PXLW,73.68,69.36,-4.93,0.99,31466,1.19,15.14,1.76,35.68,11.8,23.5,55.2,4.21,7.35,0.09,13.43,-21.36
MYRG,30.34,28.95,-4.64,-0.07,194900,1.48,-2.06,-5.3,-1.83,11.13,8.31,38.4,1.74,2.72,-3.91,2.51,-9.28
MTZ,18.15,17.14,-4.03,1.62,1455800,1.35,-4.35,-13.17,-5.62,-12.6,-21.01,38.6,2.67,4.93,-9.18,-16.29,-45.79
VRDN,371.23,337.48,-3.85,5.77,453,0.45,-4.46,-36.97,-16.67,-21.55,-38.78,40.1,4.29,11.14,-12.66,-35.66,-74.96
IRDM,7.02,6.7,-3.6,1.01,1847400,1.41,-13.21,-19.28,-32.6,-23.43,-30.79,19.7,2.35,5.16,-25.66,-29.53,-39.69
AXON,26.05,25.32,-3.47,-0.69,2576200,1.02,-20.13,-22.36,-26.42,-4.16,-4.49,29.1,3.85,6.48,-21.4,-5.71,-27.72
GALT,2.61,2.56,-3.4,-1.51,54800,0.87,-4.12,-1.16,-16.88,-23.35,-24.71,44.3,3.79,7.42,-8.41,-26.27,-59.11
IOVA,8.0,7.75,-3.12,0.0,503200,1.22,-7.85,-15.58,-32.84,1.31,-3.73,30.6,3.1,7.55,-19.92,-15.27,-46.51
HIMX,5.54,5.39,-2.9,-0.15,3844383,1.63,-9.46,-21.36,14.43,-19.55,-13.21,27.3,1.66,4.55,-12.53,-6.63,-31.68
ASND,19.57,19.18,-2.89,-0.91,24900,0.2,-3.76,1.11,18.61,4.75,1.86,45.2,2.72,6.24,3.74,,-10.62
SMMT,13.07,13.0,-2.18,-1.66,6700,0.57,1.17,21.38,17.65,,27.58,62.5,1.96,3.91,11.93,,-4.97
PRTA,66.32,66.89,-2.11,-2.94,1341100,2.75,0.06,31.0,114.19,222.36,228.7,64.2,3.96,6.54,25.67,102.0,-2.63
DY,66.34,64.58,-2.05,0.62,243100,0.73,-1.27,-2.34,37.52,84.41,83.78,48.7,1.69,2.6,2.94,44.48,-7.24
