ticker,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
PRIM,16.12,15.86,-18.34,-17.01,2969925,8.38,-20.28,-8.31,-34.04,-40.52,-25.06,28.5,4.76,5.73,-17.76,-32.41,-47.24
FORM,10.19,9.42,-8.19,-0.68,804200,1.61,-2.69,24.77,17.16,33.81,13.36,58.8,3.01,4.02,11.18,21.51,-8.19
SOXL,2.47,2.36,-5.78,-1.15,12374038,1.47,1.64,33.57,13.57,30.12,13.7,61.2,3.71,4.34,14.76,32.58,-5.78
MU,30.14,29.43,-5.05,-2.75,29174934,1.29,-3.6,1.35,-17.5,-9.02,-14.65,41.4,2.88,3.49,-6.07,-7.01,-18.72
CAPR,58.5,57.8,-4.46,-3.31,171,0.19,-8.98,-11.08,47.45,34.42,54.13,51.3,5.92,7.95,17.31,31.06,-51.83
STX,40.55,39.52,-4.45,-1.97,9757693,2.15,-3.09,5.16,-10.23,-4.35,-10.1,40.1,1.53,2.78,-5.78,-0.25,-13.76
AMAT,22.86,22.03,-4.44,-0.85,21110303,1.21,-3.45,7.67,2.25,6.93,-1.48,50.7,1.89,2.77,1.16,9.34,-4.44
QUIK,28.56,27.3,-4.41,0.0,22486,0.46,-1.02,-31.58,-35.43,-42.48,-40.37,32.9,6.4,6.52,-25.88,-42.3,-64.8
WATT,5694.0,5664.0,-4.16,-3.65,202,1.13,2.05,0.53,3.06,-22.95,-17.05,47.1,3.03,6.26,-2.95,-12.71,-39.37
NVAX,177.0,171.4,-3.92,-0.78,542980,2.15,-7.95,9.73,60.49,82.73,48.78,53.9,2.39,5.74,16.09,58.15,-9.88
PLUG,3.0,3.02,-3.51,-4.15,6214200,1.31,-4.43,13.11,-20.94,-45.88,1.34,47.5,2.83,5.24,1.06,-28.39,-70.71
MTSI,35.99,33.94,-3.39,2.45,421600,0.58,-2.44,4.4,36.69,43.33,7.64,53.5,3.44,4.78,5.41,36.88,-3.47
KOPN,4.31,4.22,-3.21,-1.15,170500,0.99,5.24,15.62,23.75,6.3,15.3,61.4,2.02,3.83,10.14,18.83,-3.21
ENPH,13.77,13.37,-3.19,-0.29,414600,0.56,-2.9,7.91,27.21,-5.04,-5.91,48.8,3.17,5.45,1.93,11.42,-23.12
LRCX,7.25,7.09,-3.18,-1.0,30637991,1.62,-2.9,7.0,-0.81,14.27,2.95,51.5,1.41,2.05,2.14,10.89,-3.18
PRTA,26.25,25.63,-3.17,-0.83,239100,1.03,-1.54,13.26,5.73,11.92,25.95,56.1,4.66,7.16,15.27,19.34,-46.94
AXON,22.78,21.93,-3.14,0.62,3988100,1.76,-20.28,-18.81,2.09,39.95,-17.28,29.3,4.12,5.43,-16.49,19.66,-21.37
CBAT,2.53,2.48,-3.12,-1.17,48600,0.87,0.81,27.18,-12.06,-31.3,40.11,52.8,4.93,6.0,16.17,-12.42,-44.39
CPRX,3.75,3.65,-2.93,-0.27,564100,0.72,-2.14,0.0,37.74,14.06,24.15,58.7,3.27,5.9,13.74,33.57,-3.44
WDC,68.89,67.01,-2.92,-0.2,2823126,0.91,-3.11,8.59,2.6,3.28,-4.39,47.6,1.63,2.65,-1.53,6.79,-7.29
MTZ,21.73,21.34,-2.87,-1.09,998700,1.14,5.17,15.23,-11.45,-30.03,-1.66,56.7,2.73,3.97,4.46,-20.49,-51.75
LFUS,94.3,92.37,-2.82,-0.79,133174,0.76,-0.11,0.74,3.47,8.51,4.03,53.1,2.54,2.43,1.84,7.41,-2.82
CLDX,406.05,395.55,-2.8,-0.22,141213,0.88,3.61,23.11,30.03,65.74,43.24,70.7,4.53,5.5,26.95,57.66,-5.55
KLAC,5.33,5.21,-2.74,-0.61,15790786,1.1,-3.59,4.77,-7.25,5.48,-8.38,45.8,1.32,2.08,-3.31,4.68,-11.33
SWKS,80.58,78.61,-2.62,-0.19,5148607,1.53,0.63,7.02,31.74,57.21,21.22,65.8,1.71,2.6,12.39,47.43,-2.62
DIOD,28.99,28.14,-2.53,0.42,279500,1.6,-1.64,6.47,5.83,10.57,2.89,52.6,1.59,2.63,2.79,5.81,-7.13
MRVL,14.75,14.57,-2.48,-1.27,8845197,0.96,-1.1,3.29,12.21,16.0,10.2,50.0,1.37,2.38,2.85,12.12,-3.54
MXL,8.46,8.3,-2.47,-0.59,142900,0.36,-2.47,3.11,13.7,-10.46,11.26,49.5,2.25,3.48,2.67,-0.29,-22.21
AAON,14.4,14.12,-2.42,-0.52,639354,2.5,-5.7,3.21,8.63,21.16,2.66,45.5,1.96,2.79,0.14,9.7,-5.7
MVIS,2.11,2.06,-2.37,0.0,241000,1.1,-2.83,3.0,14.13,0.49,5.1,51.9,2.52,4.76,4.23,6.45,-13.45
TXN,48.74,47.74,-2.28,-0.24,7468658,1.15,-0.66,9.58,8.3,23.19,10.21,60.5,1.27,1.64,6.39,17.91,-2.28
NOVT,12.74,12.53,-2.26,-0.62,122700,1.94,-7.94,-5.22,-1.18,-2.26,-13.41,27.8,1.28,2.58,-9.37,-1.66,-15.74
ON,13.12,12.87,-2.2,-0.3,7074800,0.76,5.15,28.57,42.52,31.86,26.18,71.1,3.07,3.12,19.35,37.21,-2.2
AMD,3.21,3.14,-2.18,0.0,8645000,0.51,0.96,22.18,12.54,-24.7,16.73,60.8,4.32,3.66,12.76,-7.36,-32.62
CRMD,28.25,27.5,-2.14,0.53,142860,1.06,10.0,77.42,292.86,175.0,186.46,87.7,6.7,7.58,93.63,175.74,-2.14
CEVA,20.14,19.84,-2.12,-0.64,145200,1.09,1.74,8.36,15.28,30.87,9.55,58.6,2.15,3.01,6.4,24.42,-2.12
NOC,146.32,144.37,-2.09,-0.77,2484343,1.55,-3.46,4.67,16.58,29.78,12.19,51.6,0.93,1.66,4.15,21.69,-4.58
MX,5.78,5.69,-2.07,-0.52,565400,0.36,3.64,-60.43,-53.28,-53.85,-55.86,21.7,11.4,12.45,-51.41,-53.65,-62.66
BOSC,3.1,3.0,-1.96,1.31,3300,0.88,-3.84,-3.23,-20.43,-8.53,-8.54,42.4,2.71,5.3,-7.0,-18.87,-57.14
GD,117.17,115.47,-1.94,-0.5,1796723,1.24,-3.24,2.9,-5.26,12.3,-0.54,44.3,1.11,1.53,-0.97,7.0,-5.26
AAOI,13.18,13.02,-1.88,-0.68,490400,1.62,25.8,45.64,20.0,-38.7,20.67,79.2,3.36,4.72,29.25,-17.38,-52.52
MCHP,22.52,22.27,-1.87,-0.77,6075572,0.54,-0.19,14.84,14.7,6.92,15.43,65.5,1.72,1.97,9.89,12.46,-1.87
ADTN,17.4,17.1,-1.83,-0.15,1514427,1.93,-7.68,-7.44,-2.05,-10.94,-6.04,32.8,1.91,3.24,-7.54,-5.32,-23.19
NVDA,0.54,0.53,-1.8,-0.73,166368734,0.73,-0.58,15.98,6.18,14.96,10.61,60.9,1.95,2.09,7.69,15.03,-1.8
ADI,50.19,49.75,-1.74,-0.87,1770705,0.79,-0.79,13.52,8.96,17.32,6.48,62.5,1.34,1.88,6.1,13.63,-1.74
CRUS,31.3,30.86,-1.72,-0.32,806200,0.66,1.51,16.45,68.73,27.63,30.16,68.5,1.87,2.72,16.98,34.58,-1.72
QCOM,56.67,56.23,-1.72,-0.96,11727459,0.76,0.62,14.98,-1.49,-5.08,-3.32,54.5,1.7,1.97,0.43,-3.32,-10.99
PTCT,70.99,69.08,-1.72,1.0,1049000,1.62,-2.92,25.81,54.37,118.19,35.45,67.7,5.33,5.86,22.73,75.49,-6.13
BLDP,2.38,2.33,-1.69,0.42,736000,0.17,-13.7,50.32,1.75,-38.52,27.32,53.2,14.22,9.05,19.64,-21.36,-66.13
LHX,67.28,66.38,-1.69,-0.36,1025531,0.68,-1.41,15.36,8.05,9.94,8.13,61.2,2.21,1.75,6.73,9.2,-1.69
EXTR,3.6,3.54,-1.67,0.0,564200,0.65,1.72,20.41,-2.21,-33.58,-0.84,58.5,2.8,4.13,7.07,-12.11,-41.97
ATRO,58.23,58.18,-1.65,-1.56,278880,1.07,3.95,25.37,42.43,33.77,26.33,73.0,4.63,3.67,23.54,38.37,-1.65
