ticker,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
BEEM,8.25,7.5,-10.18,-1.2,1554,1.65,-14.29,0.67,4.9,15.38,15.38,46.8,8.43,8.72,-3.92,1.17,-18.92
LEDS,6.65,6.3,-6.11,-0.89,113440,0.26,-9.48,-8.03,300.18,121.67,57.5,52.9,6.72,14.11,30.97,75.86,-37.93
EFOI,157.5,150.5,-5.49,-1.1,7146,1.86,-11.34,-21.68,-27.49,-51.19,-67.79,26.0,4.72,7.62,-24.49,-53.3,-84.55
INVE,2.34,2.25,-4.66,-0.8,33831,0.76,15.98,8.7,11.39,24.31,-4.66,60.4,3.44,7.97,12.7,3.53,-51.72
CRMD,8.8,8.3,-4.6,1.15,53738,0.77,-5.68,3.11,-38.52,-12.63,-12.63,49.2,6.54,8.31,-7.07,-28.11,-63.11
PI,23.83,22.56,-3.88,1.53,374499,1.55,12.86,,,,25.54,80.5,,7.31,,,-3.88
AMBA,65.7,63.64,-3.72,-0.61,1239603,1.72,2.98,10.91,68.94,49.42,17.55,64.9,2.14,3.09,14.28,32.08,-34.42
CLDX,64.2,62.4,-2.58,0.23,140464,1.43,-4.59,-10.73,7.22,-40.57,-72.25,38.0,2.4,4.62,-7.37,-45.32,-77.03
ASTC,219.0,217.5,-2.37,-1.7,276,1.02,-11.59,-20.77,-12.65,19.83,0.69,29.1,2.03,8.47,-15.37,-13.37,-40.33
NVAX,147.8,143.8,-2.31,0.41,266032,1.19,4.81,-3.23,40.98,42.09,-8.76,48.2,3.21,4.27,0.05,13.09,-41.73
ALNT,13.91,13.75,-2.26,-1.16,27241,0.84,-3.9,-9.67,0.36,15.74,-15.35,43.9,3.4,4.31,-5.41,1.47,-22.49
VSTM,16.08,15.84,-2.22,-0.74,7909,0.3,0.0,-1.49,-3.65,11.86,-25.84,47.5,3.86,5.97,-1.32,-12.87,-80.67
FORM,10.52,10.29,-2.19,0.0,272516,0.5,3.0,4.26,58.06,48.48,19.79,56.1,2.7,3.7,9.19,25.47,-4.28
NTRA,10.46,10.24,-1.92,0.19,157977,0.9,-6.65,-21.23,-7.91,46.49,-0.97,29.7,2.92,5.95,-15.67,0.09,-38.01
AMKR,9.18,9.04,-1.81,-0.32,2029223,0.91,7.96,46.58,65.23,103.09,52.65,79.1,3.61,3.39,38.46,52.83,-1.81
RNAC,379.5,378.9,-1.64,-1.48,207,0.46,16.41,-10.17,,,-10.36,54.6,4.67,7.69,,,-10.36
ISSC,2.66,2.66,-1.59,-1.59,32909,0.67,8.81,10.75,12.37,16.6,9.96,63.6,3.35,4.11,7.45,14.84,-1.59
CLLS,27.19,26.71,-1.58,0.18,105629,1.57,-1.15,5.24,-8.68,21.08,-11.44,46.6,1.69,3.15,-0.67,-4.36,-36.62
NTLA,22.61,22.79,-1.51,-2.29,93890,0.48,27.53,27.25,-14.13,,2.8,64.4,5.71,5.87,7.38,,-22.93
CLS,10.81,10.67,-1.3,0.0,351573,0.91,-2.56,5.96,5.64,8.66,-2.2,48.0,1.98,2.07,3.49,1.97,-19.77
MVIS,1.56,1.54,-1.28,0.01,80346,0.23,0.0,-18.52,-16.76,-45.96,-47.8,43.3,4.54,6.53,-10.76,-29.97,-54.71
CAT,70.93,70.9,-1.22,-1.19,5881948,1.19,0.16,4.62,21.24,29.93,26.59,59.8,1.44,1.59,6.03,17.03,-1.22
HIMX,8.03,7.9,-1.22,0.41,1966793,0.67,9.36,2.97,15.89,16.58,14.41,62.7,3.21,3.56,8.99,10.59,-18.1
PVLA,132.0,131.2,-1.2,-0.6,3086,2.27,-2.96,-1.2,-7.34,0.0,-28.38,41.3,1.64,5.52,-2.66,-13.68,-46.41
SNDX,14.19,13.92,-1.0,0.92,25863,0.79,-1.07,15.61,3.96,,15.9,66.8,2.22,4.14,15.4,,-16.14
LGND,108.8,107.59,-0.93,0.18,205669,0.59,-6.21,-20.37,-8.18,19.76,5.0,27.1,2.23,3.55,-11.78,-2.56,-22.33
NXPI,83.15,82.34,-0.75,0.23,1659952,0.5,1.65,4.07,1.35,31.79,3.74,58.7,1.81,2.08,4.94,7.35,-10.57
ATKR,17.68,17.43,-0.68,0.74,43318,0.3,-0.51,5.06,,,8.94,60.6,1.84,3.56,,,-2.02
ON,10.24,10.23,-0.68,-0.58,2354020,0.63,-0.39,5.9,13.29,33.2,5.46,58.4,1.91,2.57,6.56,8.05,-11.81
GSIT,4.68,4.75,-0.63,-2.14,24907,0.95,-2.86,-3.65,25.66,37.68,26.33,46.6,2.14,3.33,4.39,17.38,-9.0
DE,69.35,69.15,-0.63,-0.35,4493292,1.26,-1.35,-7.09,-5.76,1.43,2.66,37.5,1.09,1.59,-4.86,-2.14,-12.48
LRMR,38.64,38.4,-0.62,0.0,31271,0.58,-1.23,-1.23,-50.23,-57.33,-49.92,31.2,3.06,6.82,-34.65,-53.91,-93.08
CCJ,8.92,8.85,-0.62,0.11,1444365,0.58,-2.36,-9.97,-15.69,-19.54,-19.68,40.3,2.99,2.92,-8.54,-17.33,-32.54
QURE,8.36,8.36,-0.59,-0.59,92783,0.39,1.58,17.25,-30.68,-46.2,-47.12,51.9,3.9,6.11,3.55,-37.59,-74.98
TCMD,13.44,13.25,-0.56,0.83,34173,,-5.36,,,,19.58,71.7,,10.02,,,
FTV,32.31,32.27,-0.47,-0.36,1440693,0.39,1.16,5.6,,,11.33,68.6,1.51,2.28,,,-0.94
EMR,46.02,45.97,-0.42,-0.29,2867297,0.71,1.18,-1.83,10.0,15.8,18.85,55.3,1.32,1.44,2.54,9.4,-2.1
MMM,147.37,146.94,-0.39,-0.11,1327459,0.67,-0.4,-0.61,9.2,15.99,24.53,58.1,0.54,0.86,2.4,11.33,-0.61
CBAT,2.51,2.54,-0.39,-1.57,12368,0.19,-3.79,-3.42,-3.42,5.83,-4.15,41.3,3.24,6.77,-4.78,-2.73,-32.27
OSIS,68.04,68.0,-0.37,-0.31,171906,1.21,11.17,13.81,38.41,13.77,-21.19,74.1,2.97,2.92,16.62,2.16,-28.97
GD,132.91,132.53,-0.33,-0.04,1741488,0.97,0.76,5.46,6.75,14.0,13.92,67.6,0.81,1.15,6.41,10.65,-0.63
PRTA,55.43,55.33,-0.32,-0.14,181017,0.66,-2.45,4.49,35.85,59.36,-11.07,55.1,2.69,4.55,14.94,14.22,-26.53
COHU,10.13,10.11,-0.29,-0.1,40210,0.56,1.02,-8.35,-2.46,-7.52,-5.91,44.1,1.73,3.96,-4.28,-8.57,-18.79
DCO,22.55,22.36,-0.27,0.58,70337,1.21,-0.4,9.77,29.77,65.26,38.71,64.6,3.51,3.3,11.12,33.39,-5.81
PH,111.36,110.92,-0.25,0.14,1642190,1.3,0.35,9.64,13.81,24.89,29.87,71.5,1.26,1.48,8.87,16.78,-0.25
HY,44.8,44.79,-0.25,-0.21,86422,1.35,-2.95,-17.56,-11.1,-8.3,1.07,28.9,3.69,3.68,-13.33,-10.67,-24.87
EXTR,3.96,3.94,-0.25,0.25,249015,0.57,-2.72,5.63,14.2,44.85,-1.25,56.0,1.64,3.44,6.94,12.26,-10.86
ADTN,15.77,15.7,-0.22,0.23,162834,0.63,0.32,-0.98,-0.38,-0.84,7.27,49.1,0.93,2.02,-0.8,0.4,-10.62
NOC,197.22,196.88,-0.2,-0.02,528872,0.58,0.08,-1.97,3.78,15.39,17.33,49.8,0.7,1.07,-0.08,9.29,-1.97
FTAI,7.3,7.24,-0.17,0.68,129832,0.32,-0.96,11.18,31.23,36.97,15.83,67.0,1.24,2.85,13.14,21.41,-11.37
INTC,28.15,28.16,-0.14,-0.17,17492134,0.79,0.84,-1.28,18.91,23.78,5.47,58.6,1.13,1.3,4.19,9.96,-1.28
ADI,56.45,56.3,-0.11,0.16,2049299,0.7,-0.02,5.67,15.97,25.01,19.64,62.5,1.17,1.75,7.23,13.37,-1.75
ARKG,17.68,17.72,-0.11,-0.37,501,0.46,0.31,4.29,14.54,15.81,-5.77,56.8,1.25,1.22,5.75,4.63,-14.67
LMT,214.13,213.93,-0.09,0.0,3099156,0.45,-2.72,-0.49,7.64,21.28,21.54,47.6,1.03,1.51,1.7,12.2,-4.15
PNR,40.06,40.0,-0.09,0.06,1050912,0.54,1.06,6.62,14.63,40.15,37.56,66.4,1.42,1.63,7.76,22.13,-0.36
