ticker,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
CRVO,2981.25,2846.1,-7.66,-3.28,88,1.2,-17.59,-41.84,-7.69,,9.39,31.7,3.67,20.89,-34.92,,-70.23
ENPH,1.32,1.23,-7.52,-0.75,638977,0.52,-9.23,-21.15,-8.21,-31.67,17.14,39.1,6.65,11.15,-16.85,-20.37,-56.38
GALT,1.91,1.81,-6.7,-1.55,555741,0.67,3.43,43.65,92.76,7.1,75.73,58.5,12.89,10.66,36.51,33.94,-36.93
VRDN,212.24,203.84,-6.05,-2.18,1784,0.71,-12.32,-6.28,44.42,74.24,163.88,52.3,7.55,11.62,22.39,64.15,-22.25
ASTC,202.5,196.5,-4.38,-1.46,407,0.98,-13.82,-12.67,-16.56,-28.8,-9.66,34.5,3.5,9.2,-12.33,-20.38,-39.91
PGEN,23.74,22.86,-3.87,-0.17,1807565,1.45,0.57,5.59,-24.68,-10.0,-7.86,50.1,3.14,4.52,-0.99,-12.81,-40.53
SRPT,32.47,31.37,-3.86,-0.49,1674247,0.61,-5.99,6.92,-9.05,15.42,12.36,49.9,3.72,5.94,0.95,-2.43,-49.69
CBAT,1.3,1.3,-3.7,-3.33,37063,1.18,0.0,4.0,-21.21,-40.91,-13.33,45.7,4.61,6.79,-8.8,-35.38,-57.79
CLDX,51.52,50.25,-3.46,-1.01,105640,0.89,-12.07,-4.29,-10.43,-2.9,-7.2,44.4,3.75,5.43,-4.07,-14.39,-33.0
IBRX,4.01,3.92,-3.45,-1.23,368827,1.42,-7.55,-26.59,-40.06,-52.71,-33.67,26.3,3.29,7.54,-26.97,-40.88,-60.96
TCMD,20.6,19.99,-3.24,-0.29,141383,1.34,5.21,25.72,25.57,25.33,27.32,65.4,4.7,5.14,20.25,,-3.38
NRG,15.93,15.45,-2.97,0.06,10093539,1.26,-0.15,5.57,39.34,50.12,41.16,57.0,2.05,3.55,8.5,27.95,-2.97
FTAI,9.69,9.49,-2.76,-0.71,347495,1.15,-2.87,0.32,10.33,30.59,10.19,45.3,1.2,2.43,1.6,22.16,-4.59
LRMR,52.44,52.08,-2.47,-1.8,16248,1.08,10.71,5.34,24.0,44.67,33.95,60.3,3.38,5.51,8.9,7.46,-42.89
PVLA,226.4,222.4,-2.46,-0.7,4561,0.81,5.3,34.31,84.12,73.75,90.41,74.6,5.2,6.22,35.55,60.21,-2.46
MVIS,1.66,1.62,-2.41,0.0,331800,0.63,-5.26,-5.26,21.8,16.55,25.58,49.2,5.46,7.43,6.71,8.03,-29.87
BMY,49.05,47.9,-2.38,-0.03,13892581,0.92,-0.07,10.52,3.76,3.68,-3.61,58.0,1.24,2.02,4.24,-4.02,-24.84
SYNA,50.91,49.89,-2.23,-0.24,515991,0.87,-1.29,-11.56,-9.29,-13.42,-10.61,31.8,1.67,3.14,-9.11,-11.75,-42.88
VKTX,1.33,1.32,-2.22,-1.11,182258,0.85,-3.65,-12.0,18.92,-2.19,10.92,38.9,2.99,7.95,-7.33,2.68,-31.61
INTC,29.16,28.73,-2.09,-0.64,65569147,2.38,-1.16,-0.84,-0.81,0.67,-3.25,36.8,0.81,1.53,-3.14,0.7,-6.77
