ticker,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
SMMT,4.29,3.83,-12.95,-2.5,4177443,0.48,-29.21,-2.3,251.38,302.14,-23.4,51.2,16.6,22.48,55.04,142.51,-29.21
RAYA,6248.0,5368.0,-8.96,5.97,75,,17.31,,,,13.49,23.2,,20.05,,,
EVTL,30.3,28.1,-7.26,0.0,40966,0.97,-16.86,-18.08,-72.23,-4.42,-16.62,30.9,4.67,10.96,-23.36,-51.56,-74.57
VKTX,9.09,8.54,-6.26,-0.22,2186633,0.24,1.43,132.07,190.48,136.57,0.23,64.9,16.58,8.05,57.2,138.5,-9.15
SITM,109.1,104.67,-4.5,-0.46,415694,1.85,6.07,2.84,32.91,-29.97,7.17,53.0,4.07,6.03,4.09,-24.34,-60.65
NVAX,12.46,11.86,-4.43,0.4,5986504,0.59,4.68,-28.16,-37.48,-83.05,21.14,44.9,9.73,11.75,-25.71,-68.37,-91.21
PVLA,112.8,108.0,-4.26,0.0,5953,1.06,27.36,42.36,27.36,-30.41,23.85,72.4,4.96,7.32,32.9,-17.85,-63.01
PRSO,33.4,32.4,-4.14,-1.18,418,0.42,10.91,-24.3,-50.91,-56.22,10.2,36.7,4.9,9.3,-27.58,-53.89,-77.69
NKTR,36.3,34.8,-4.13,0.0,69780,0.74,-0.85,-17.14,-34.83,-34.28,5.94,40.2,4.17,7.07,-22.28,-38.67,-81.24
DELL,42.08,40.77,-4.05,-0.96,5620313,2.02,-0.42,-2.53,21.54,-3.84,-0.32,49.0,2.13,2.95,-1.16,-4.36,-31.26
CAN,2.62,2.52,-3.82,0.0,2091783,1.2,16.13,4.56,-18.45,-33.68,29.9,56.8,5.23,7.55,0.25,-26.06,-61.35
SMCI,7.83,7.56,-3.52,-0.08,21213990,1.16,-8.07,-10.01,35.65,83.97,-9.84,39.2,4.01,6.39,-9.34,26.01,-19.45
NUVB,2.25,2.19,-3.52,-0.88,430222,0.36,4.78,14.06,-6.41,-38.31,8.42,61.4,5.53,6.1,12.61,-28.94,-66.62
DFLI,864.0,810.9,-3.01,3.34,615,0.52,-23.32,-18.09,-36.68,-10.97,-25.1,41.5,16.52,24.11,-15.39,-12.49,-64.07
LASR,12.15,11.79,-2.8,0.16,233391,0.93,8.96,11.23,25.69,16.16,12.61,63.9,4.06,5.05,11.51,0.85,-51.5
MTSI,62.62,64.0,-2.78,-4.88,803681,2.67,2.68,-6.91,21.26,38.11,3.95,48.3,2.29,3.88,-2.76,13.0,-13.74
NVVE,14532.8,13241.6,-2.65,6.85,19,0.58,3.45,80.27,-35.84,-79.51,27.52,55.8,16.43,14.42,18.09,-77.1,-91.85
GALT,1.14,1.15,-2.54,-3.01,58070,0.5,-3.36,-0.87,-29.01,-27.22,-2.54,46.7,4.45,8.38,-5.74,-25.19,-53.63
MDGL,302.51,291.01,-2.5,1.36,374177,0.31,6.02,334.93,313.48,307.98,1.96,74.2,58.55,6.55,115.45,231.66,-2.5
KOD,8.3,8.04,-2.43,0.73,167632,0.6,-5.41,17.54,10.74,-12.04,3.47,56.8,4.34,6.03,9.65,0.56,-88.07
ADTN,19.7,19.25,-2.28,0.0,430667,0.82,0.84,-3.61,-0.91,-0.9,2.23,49.5,2.44,3.65,-3.12,-2.98,-22.95
CRMD,4.45,4.33,-2.26,0.45,288451,1.28,-0.46,14.55,54.09,2.12,3.59,56.7,3.63,6.0,11.85,12.06,-42.42
NEOV,2.53,2.59,-2.26,-4.66,5167,0.19,-5.47,-19.06,-43.82,,-3.2,38.7,7.46,12.65,-24.46,,-52.04
HOLO,56000.0,59840.0,-2.22,-8.5,92,2.66,191.05,193.33,320.22,-26.09,205.31,90.7,14.55,8.62,166.92,6.35,-27.73
ABUS,2.74,2.69,-2.18,-0.36,730260,0.63,19.03,3.07,40.1,4.67,20.63,60.0,4.37,5.82,6.65,9.96,-21.11
AXSM,62.88,62.16,-2.11,-0.98,1695115,1.79,-15.24,-16.97,46.02,38.66,-15.22,33.9,2.94,6.38,-7.28,30.14,-22.03
ALDX,6.42,6.31,-2.02,-0.31,259287,0.69,-8.68,2.77,20.42,20.65,-9.34,47.1,3.23,5.9,5.09,23.3,-18.48
FERG,135.97,136.77,-1.92,-2.5,2372734,0.64,3.61,8.21,28.88,28.8,6.34,66.0,1.77,2.44,12.22,16.96,-19.78
MOD,22.68,22.17,-1.9,0.35,588422,1.46,10.02,12.65,63.25,100.45,10.24,62.4,3.04,3.53,8.11,56.11,-1.9
ARQT,13.71,13.53,-1.89,-0.58,1174979,1.33,-13.77,-20.41,-26.98,-44.21,-8.4,31.5,3.17,6.53,-19.13,-32.33,-49.8
POET,4.79,4.5,-1.75,4.59,320801,7.23,47.06,39.75,57.23,-8.54,46.1,81.5,9.26,7.07,50.35,4.42,-44.65
NRG,32.9,32.29,-1.73,0.12,6663272,1.44,0.62,0.03,-20.74,-11.5,1.13,39.4,1.63,3.06,-14.19,-17.92,-29.88
DNLI,28.08,27.64,-1.71,-0.14,698251,1.0,-4.36,-2.54,-10.67,-19.49,0.04,45.5,3.95,5.41,-5.62,-6.45,-33.78
AMPX,6.0,5.86,-1.68,0.67,130628,0.67,-19.51,-20.7,-18.61,,-19.39,32.5,7.64,12.8,-34.0,,-54.71
ACAD,17.22,17.02,-1.62,-0.46,891563,0.8,-0.47,17.46,7.18,6.44,4.29,60.8,2.8,3.76,9.37,-0.01,-38.11
OM,406.5,397.95,-1.52,0.59,38101,1.17,4.82,12.27,78.65,53.89,6.55,61.7,3.43,5.72,24.83,18.96,-44.91
DY,97.94,95.85,-1.49,0.66,342581,1.02,3.0,9.01,-3.67,-0.67,3.15,54.7,1.74,3.46,-1.53,-2.27,-20.86
TCMD,12.83,12.66,-1.4,-0.08,103228,0.57,1.69,22.32,78.56,86.73,6.84,65.6,3.21,4.66,27.75,24.12,-41.12
SMTC,31.25,30.78,-1.35,0.16,959976,0.58,5.27,4.94,17.66,-41.64,6.36,62.2,2.27,3.4,6.42,-31.73,-62.51
QURE,21.5,21.2,-1.35,0.05,603746,0.88,-5.9,-4.93,12.59,-10.44,-2.93,41.4,3.11,5.6,-6.16,8.31,-22.4
STTK,3.07,2.99,-1.32,1.32,36722,0.36,14.12,19.6,8.33,-44.83,19.6,69.1,4.62,7.41,24.42,-9.36,-59.21
AZZ,44.95,44.46,-1.2,-0.11,236720,1.69,8.68,8.7,46.94,12.13,10.49,68.5,2.33,3.1,9.36,6.24,-12.8
SNDX,25.82,25.62,-1.16,-0.39,752923,0.85,2.89,24.13,9.21,33.58,0.08,57.6,4.48,4.89,9.53,22.49,-2.36
LHX,201.95,199.91,-1.01,0.0,1854334,1.47,-3.39,-7.25,-13.21,-11.06,-3.39,29.9,1.18,2.35,-8.72,-13.05,-24.74
ULBI,4.06,4.0,-0.99,0.5,10606,0.24,3.36,-5.44,-20.63,-7.62,6.67,48.3,3.11,4.44,-6.18,-15.57,-31.27
HIMX,7.25,7.16,-0.97,0.28,717403,0.75,4.68,0.42,43.78,4.53,12.93,57.9,3.09,3.98,5.82,3.03,-35.81
BEEM,17.91,17.47,-0.96,1.53,153696,0.85,2.04,-9.53,52.05,30.37,6.07,52.7,4.5,8.03,4.56,11.89,-31.14
BOSC,2.12,2.08,-0.95,1.17,4970,0.18,4.0,-5.45,-1.41,-4.15,0.97,46.6,2.35,4.79,-5.8,-9.94,-33.76
IONS,38.21,37.95,-0.94,-0.26,1052395,0.88,-3.31,1.2,-16.7,0.8,0.98,45.2,2.51,3.63,-5.83,-6.3,-22.01
WCC,137.27,135.57,-0.94,0.3,510400,1.29,5.89,11.77,10.21,30.14,8.69,62.9,2.43,3.21,7.52,8.37,-6.27
DE,439.74,433.48,-0.9,0.53,1130067,0.91,2.36,-0.31,19.31,46.54,2.17,54.2,1.22,2.03,2.24,15.93,-2.72
AMBA,87.12,86.49,-0.87,-0.15,426749,0.71,9.12,10.79,61.12,34.57,8.81,61.8,3.56,4.69,17.97,15.88,-46.2
NTLA,37.9,37.51,-0.79,0.24,1000308,0.85,-4.14,-1.13,-29.86,-40.82,8.25,45.7,4.22,6.08,-13.6,-29.7,-64.36
ICCM,39.6,38.7,-0.77,1.54,12843,0.04,-7.86,29.0,7.5,-25.05,-8.51,49.4,41.1,19.16,7.92,-21.07,-61.03
KTOS,10.95,10.82,-0.73,0.46,780718,0.8,5.97,19.43,12.36,-15.07,7.88,64.6,2.29,3.8,9.03,-16.87,-50.55
EXTR,19.38,19.24,-0.62,0.1,588466,0.62,2.45,-2.43,45.43,84.47,4.4,55.0,1.83,3.12,1.56,41.34,-8.25
PI,125.72,117.5,-0.61,6.34,689305,1.93,8.8,3.62,47.17,81.8,6.57,57.0,3.03,5.14,3.2,45.71,-7.88
LMB,12.1,11.99,-0.58,0.33,95287,1.55,3.1,5.18,57.35,122.45,9.3,57.8,4.58,5.9,14.75,58.87,-2.2
NOC,496.2,492.93,-0.58,0.08,944004,1.22,-6.37,-6.81,-2.51,6.69,-8.77,31.5,1.53,2.85,-6.39,1.93,-9.92
CLDX,46.54,46.43,-0.54,-0.3,569231,0.93,5.0,24.98,58.41,72.41,7.01,64.6,3.5,4.35,19.72,43.69,-0.54
CRVO,8.32,8.62,-0.52,-3.98,3599,0.62,7.28,-5.89,7.48,-27.22,7.59,53.1,2.87,6.12,2.07,-16.96,-66.08
CRNX,16.74,16.67,-0.48,-0.06,393652,0.99,-4.14,2.52,-3.42,-23.46,-7.9,45.3,3.43,5.59,-4.48,-13.47,-39.69
MEI,46.94,46.77,-0.47,-0.11,85776,0.6,4.7,-0.17,30.39,35.31,4.12,58.6,1.68,2.58,3.66,12.34,-6.89
IRDM,60.04,59.75,-0.45,0.03,722709,0.96,12.38,18.29,26.75,56.87,13.16,73.9,3.1,3.16,14.79,35.63,-0.45
HWM,40.72,40.39,-0.39,0.42,2372948,0.98,2.12,6.29,22.53,21.93,3.41,61.4,1.51,2.16,6.26,14.05,-0.39
PRIM,24.14,23.92,-0.37,0.54,208180,0.92,7.02,12.67,40.38,13.82,8.24,74.0,1.47,2.7,10.94,10.03,-13.06
RTX,100.12,99.59,-0.33,0.2,4518671,1.01,-1.24,1.34,18.42,9.75,-1.21,51.8,1.06,1.96,1.82,6.96,-3.44
IOVA,6.17,6.14,-0.32,0.16,2782063,0.76,-3.91,-11.27,-31.09,-50.68,0.49,43.7,4.14,6.84,-11.79,-42.98,-66.5
VRDN,35.03,35.39,-0.31,-1.32,1030926,1.38,24.13,30.83,79.19,181.99,24.18,78.1,5.15,5.28,39.54,89.97,-0.31
STRL,33.21,32.82,-0.3,0.88,189255,0.81,-1.62,4.36,44.84,52.58,-1.88,55.8,2.0,3.17,2.9,25.8,-2.38
SLAB,150.4,150.23,-0.27,-0.15,267051,0.79,9.56,5.93,24.28,20.51,12.07,64.1,2.64,3.37,10.0,10.77,-20.72
FORM,24.72,25.01,-0.24,-1.4,379425,0.64,11.85,5.71,-5.37,-29.59,14.1,63.5,2.79,3.99,11.75,-20.29,-44.07
TSEM,44.11,44.06,-0.23,-0.11,613560,1.36,1.76,-3.88,2.11,-4.67,2.32,50.1,0.71,1.29,1.15,-3.57,-10.3
