ticker,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
WATT,8.42,7.42,-15.12,-3.68,214238,2.75,-42.48,-36.74,-13.0,-38.17,-74.56,34.1,12.01,23.15,-27.29,-38.89,-90.67
CAPR,8.18,7.82,-13.84,-9.81,2231309,1.1,1.76,2.29,23.26,-44.54,-47.76,47.3,7.45,11.68,-17.82,-39.06,-64.46
AAON,62.4,72.08,-10.49,-22.5,7087227,4.63,-12.16,-6.19,-28.09,-36.09,-38.89,36.9,3.86,5.92,-9.22,-28.28,-48.79
SYM,55.25,51.24,-7.86,-0.65,3036831,1.03,-9.42,8.88,107.03,94.31,107.37,50.6,6.52,8.74,18.99,69.0,-18.94
RAYA,154.0,140.91,-7.84,0.72,19741,0.42,-16.82,-97.47,-95.46,-95.05,-95.07,26.7,28.66,352.32,-95.89,-95.35,-97.92
ARTV,2.72,2.56,-7.25,-1.45,51648,0.3,-14.95,25.49,23.08,-34.53,-74.32,48.7,8.94,10.86,15.63,-52.74,-83.83
PXLW,9.07,8.53,-6.78,-0.82,61529,0.51,-19.95,22.66,28.44,-17.04,-5.28,43.5,8.63,13.25,4.94,2.37,-37.27
IOVA,2.14,1.97,-6.64,1.42,15416840,0.55,-30.39,5.35,12.57,-65.38,-74.71,40.1,11.88,16.39,-11.34,-59.79,-83.96
GALT,4.15,3.88,-6.51,0.0,316142,0.98,8.08,54.58,181.16,196.18,231.62,70.8,4.71,7.95,55.3,105.95,-6.51
SENS,9.9,9.33,-5.85,-0.08,145262,0.37,-8.15,-6.14,-25.38,-55.15,-1.42,38.9,3.81,7.07,-9.21,-21.18,-64.4
PEPG,1.1,1.01,-5.61,2.8,362314,1.82,-24.06,-19.84,-32.67,-18.55,-73.21,29.3,4.77,11.13,-24.58,-60.53,-89.78
SHLS,4.7,4.46,-5.51,-0.42,4937678,1.07,-17.1,-23.76,-12.38,1.59,-26.28,35.2,4.22,8.68,-15.42,-3.7,-31.38
GSIT,3.3,3.13,-5.15,0.0,495375,1.3,-20.96,-32.25,-9.28,0.32,-3.99,30.5,5.52,9.51,-19.42,-1.83,-45.47
RGNX,7.75,7.46,-4.97,-1.27,659370,1.05,-10.44,-14.06,-0.8,-9.14,-5.09,35.3,3.42,7.07,-14.92,-10.29,-42.39
MOBX,9.39,9.1,-4.93,-1.92,24115,0.38,10.98,10.55,29.12,-26.03,-42.42,51.9,9.65,12.0,12.17,-6.2,-58.07
IPWR,4.1,3.86,-4.93,1.01,64758,1.29,-9.63,-35.03,-26.07,-43.45,-50.27,28.5,3.68,11.9,-21.76,-33.65,-58.73
OKLO,74.29,71.86,-4.59,-1.37,16515507,0.82,-5.95,28.14,155.82,29.5,228.88,52.6,6.32,8.51,14.87,93.86,-14.54
AMPX,8.16,7.69,-4.59,1.24,10531479,0.98,1.99,19.41,211.34,113.02,168.88,56.7,7.3,10.4,38.58,136.9,-11.2
AGX,236.99,228.08,-4.58,-0.85,289184,0.61,2.09,7.46,33.94,41.14,59.14,52.5,3.45,5.36,4.18,38.21,-6.9
