ticker,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
NVAX,60.0,56.2,-6.02,0.33,9389,0.95,1.44,14.69,-3.77,-7.26,-13.8,56.8,3.24,4.92,7.85,-11.06,-33.1
WCC,43.64,41.81,-4.57,-0.39,948066,1.25,-5.36,12.54,-2.27,2.58,6.25,53.6,2.1,3.13,7.2,1.24,-36.57
BWEN,218.0,213.5,-4.47,-2.46,57208,1.29,4.25,74.29,115.66,113.5,53.6,65.2,6.88,9.09,59.54,112.86,-18.07
ISSC,3.91,3.78,-4.25,-0.92,202249,1.14,-9.48,-22.6,-20.65,-45.36,-19.54,34.3,4.92,8.49,-21.65,-41.33,-72.96
GSIT,4.19,4.06,-3.79,-0.71,28918,0.36,2.53,17.68,39.52,82.88,56.15,61.6,3.79,4.84,20.92,40.18,-20.24
PRSO,44640.0,43040.0,-3.76,-0.18,8,0.76,-3.06,16.96,20.36,1.13,7.6,55.2,4.54,5.57,13.92,2.39,-39.07
ASTE,35.23,34.26,-3.61,-0.87,208888,0.79,-5.34,3.0,18.26,4.51,7.45,45.2,2.3,4.57,-1.21,-8.45,-37.22
NTAP,19.28,18.87,-3.37,-1.26,14737535,1.34,-12.95,1.07,3.89,-2.74,-3.44,42.4,2.2,4.23,2.86,-4.59,-28.43
LRCX,3.38,3.27,-3.32,-0.15,64693415,1.79,-9.21,-11.98,-6.78,-14.49,-10.74,35.8,2.0,3.91,-6.5,-15.79,-36.56
AZZ,12.41,12.11,-3.26,-0.89,249838,0.64,-3.53,3.55,-13.19,12.18,5.71,46.4,1.73,3.8,-6.43,-6.84,-29.3
AMKR,10.8,10.67,-3.2,-2.05,2533117,0.54,-11.97,17.89,-8.49,40.94,31.41,47.1,7.15,5.88,1.75,8.04,-32.75
MOD,16.5,16.06,-3.08,-0.42,129759,0.9,-6.08,-6.9,21.21,-22.3,-5.03,41.3,1.93,4.31,1.23,-17.26,-44.51
IPGP,19.77,19.08,-3.07,0.4,337911,1.09,-3.6,17.92,7.17,-2.92,-1.63,59.2,4.15,3.12,14.11,4.67,-17.75
HEI,9.37,9.17,-3.04,-0.88,761847,1.37,-8.6,-8.95,3.09,-5.0,-14.66,33.9,1.92,3.92,-6.98,-4.65,-18.4
AXON,7.29,7.11,-3.0,-0.55,1913407,0.89,-5.45,-5.58,-39.75,-45.52,-49.36,32.3,2.11,4.34,-18.45,-43.61,-62.2
D,29.04,28.32,-2.76,-0.27,3281658,1.03,-1.15,4.71,6.64,-1.69,-2.32,55.8,1.17,1.84,4.57,3.12,-7.24
DIOD,27.17,26.5,-2.75,-0.29,487201,1.23,-3.53,-1.27,11.91,-6.09,-10.8,48.3,1.5,3.56,4.83,-4.03,-23.65
SIMO,14.2,13.91,-2.74,-0.71,878881,1.02,-3.5,21.72,25.56,-2.28,5.58,61.9,2.96,3.76,15.75,1.37,-34.73
SPXC,29.17,28.62,-2.72,-0.87,3015017,1.21,-4.12,8.53,8.63,23.82,19.06,52.4,2.48,2.83,6.89,19.73,-4.78
AMD,7.02,6.88,-2.69,-0.71,13377846,0.63,-5.23,14.1,-1.29,-36.47,-3.64,53.5,2.96,4.46,7.47,-25.39,-56.57
OSIS,25.52,25.12,-2.6,-1.05,167437,1.53,3.76,4.36,14.39,3.72,-1.95,61.0,1.51,2.91,6.53,5.77,-12.01
RTX,31.92,31.36,-2.55,-0.8,15693246,1.63,-5.34,-3.7,-4.63,-3.81,-6.92,35.4,1.09,1.97,-2.53,-5.28,-14.7
PEG,28.0,27.37,-2.52,-0.27,2236426,0.7,1.51,-1.23,-6.61,-5.66,-10.23,50.0,1.3,2.22,0.97,-4.3,-16.43
NKTR,66.0,64.95,-2.48,-0.9,38634,0.51,-6.68,-5.25,-32.97,-32.45,-34.39,32.4,3.46,6.93,-21.72,-36.53,-62.8
RMBS,20.5,20.16,-2.42,-0.77,1584805,0.86,-9.8,-13.74,11.14,11.01,-1.32,32.5,2.03,4.16,-9.09,4.54,-22.04
KOPN,2.92,2.84,-2.41,0.34,101333,0.79,-3.4,-1.05,0.35,-15.98,-5.65,45.7,2.51,5.04,4.21,-10.57,-36.18
EXTR,3.38,3.33,-2.35,-0.88,2300976,1.28,-6.72,11.74,3.74,-11.9,-0.6,56.0,3.53,4.47,5.95,-3.31,-26.0
EME,26.59,26.26,-2.35,-1.13,595138,0.87,2.3,8.45,12.06,15.72,22.01,65.4,1.53,3.53,11.72,5.81,-27.06
FIX,11.93,11.8,-2.34,-1.31,370516,0.93,-3.67,-1.04,18.27,12.91,9.23,47.7,2.04,3.78,0.17,2.68,-12.71
ASML,20.82,20.88,-2.33,-2.62,7494100,1.64,-4.12,-0.66,17.33,-12.63,-4.67,52.5,1.66,2.61,7.66,-1.4,-18.83
NVDA,0.54,0.53,-2.27,-0.16,875202120,0.84,-5.32,15.83,3.58,-22.22,-29.99,57.1,2.98,4.55,12.7,-18.06,-41.55
IESC,18.82,18.47,-2.17,-0.32,59804,0.88,8.78,15.37,14.65,-8.79,1.32,62.4,2.72,4.89,11.12,-4.68,-48.94
CMI,51.46,50.61,-2.15,-0.49,3113053,0.61,-7.23,24.42,27.79,26.32,9.83,59.1,2.82,3.89,18.07,18.17,-7.39
GRC,20.54,20.24,-2.14,-0.65,132643,0.83,8.8,15.03,39.19,33.86,33.26,63.5,3.38,4.66,17.07,33.61,-3.04
ACM,30.68,30.15,-2.03,-0.29,816148,0.71,0.66,11.15,1.5,1.43,10.58,60.5,1.66,3.0,10.94,7.31,-18.39
RRX,40.27,39.2,-2.02,0.65,239214,0.6,-2.15,25.29,16.95,3.87,2.36,65.1,3.53,3.06,14.46,4.53,-20.06
LGND,20.88,20.64,-1.99,-0.85,24747,0.27,-7.53,-21.28,-1.43,-17.31,-29.22,39.3,3.84,5.81,-12.16,-27.41,-52.49
INTC,15.74,15.53,-1.98,-0.62,89054459,1.12,-6.37,3.2,17.41,-4.96,-7.65,50.7,1.9,2.73,4.14,-1.36,-16.34
TSEM,15.0,15.0,-1.96,-1.96,16454,0.96,-18.7,8.7,-3.85,-32.43,-31.03,47.6,4.22,7.03,3.61,-21.98,-45.65
BMI,19.62,19.31,-1.96,-0.37,351182,1.31,-7.46,-8.13,14.82,26.02,3.04,37.6,1.81,4.83,-3.0,16.07,-12.98
ALOT,8.0,8.07,-1.96,-2.75,3067,0.67,-0.4,19.04,2.45,5.48,10.25,63.4,2.65,4.62,10.53,5.2,-17.22
CGNX,6.01,5.91,-1.94,-0.26,1144256,0.71,-1.01,14.56,34.89,31.92,32.86,65.3,2.96,2.83,12.11,32.22,-1.94
KLAC,2.57,2.54,-1.91,-0.94,48022411,0.85,-4.4,-1.91,1.83,-7.34,-5.68,48.9,2.01,3.53,4.55,-7.96,-29.72
COHU,14.18,14.02,-1.88,-0.74,117827,0.65,-4.63,-4.92,4.44,13.62,7.35,43.4,2.27,4.41,-3.26,-1.34,-29.2
GE,149.73,147.17,-1.87,-0.16,12916401,1.37,-5.3,-7.25,-11.04,-18.13,-17.22,27.2,1.03,2.07,-10.62,-17.09,-27.75
CCJ,34.66,33.77,-1.83,0.74,2317589,0.68,-1.41,14.44,9.1,2.78,-0.87,58.1,2.82,4.2,10.87,3.86,-26.32
PWR,29.41,28.77,-1.75,0.44,1408866,0.62,-3.95,12.92,15.71,15.61,12.36,57.5,2.84,3.96,12.35,12.62,-11.54
POWI,15.34,15.14,-1.73,-0.44,278986,0.66,-1.2,4.03,22.23,1.7,3.84,56.6,1.71,3.16,6.36,11.62,-4.05
ON,9.88,9.79,-1.71,-0.8,6244500,0.46,-5.77,38.67,62.9,15.45,14.1,67.7,4.76,4.66,33.05,10.66,-24.63
PNR,19.53,19.25,-1.68,-0.25,809782,0.72,-4.08,-2.12,4.75,9.19,4.52,43.8,1.12,2.36,2.27,5.25,-8.88
PKE,11.15,11.06,-1.67,-0.87,121793,0.44,-2.01,3.26,16.59,-2.52,3.68,53.0,3.17,3.89,4.43,0.61,-22.42
SYNA,27.91,27.65,-1.64,-0.71,597720,0.44,-0.47,22.56,45.3,-21.76,-4.03,71.7,2.1,3.73,30.24,4.54,-31.85
GWW,72.65,71.85,-1.63,-0.53,530753,0.62,-3.29,4.75,16.87,5.14,3.77,56.0,1.04,2.0,5.77,4.74,-9.86
NEE,11.82,11.66,-1.62,-0.24,7169045,0.72,1.71,-2.27,1.1,-4.33,-1.33,48.9,1.28,2.16,0.51,1.19,-9.77
CLDX,219.0,212.85,-1.6,1.25,6530,1.45,-3.99,29.59,68.93,186.67,111.16,63.6,5.8,6.0,30.82,78.89,-3.99
XLU,12.45,12.27,-1.55,-0.1,5943542,0.47,0.31,1.73,3.67,-2.51,-2.82,55.9,0.91,1.53,3.17,1.18,-7.83
ITW,40.2,39.71,-1.52,-0.29,2750868,0.88,-3.99,1.06,7.09,-2.8,0.56,46.4,1.13,2.13,1.94,-1.5,-12.56
WDC,21.63,21.37,-1.51,-0.31,6071514,0.72,-0.5,12.74,6.18,39.46,23.19,68.6,3.16,3.66,17.01,28.84,-1.51
ILMN,38.34,38.11,-1.45,-0.85,2207874,1.51,-2.63,-4.51,0.87,47.89,27.97,44.9,1.3,2.88,-0.04,21.07,-5.67
XLI,30.34,30.0,-1.44,-0.35,5084748,0.71,-3.8,-0.15,0.94,0.31,-1.88,42.7,0.99,1.67,-0.51,-1.77,-9.82
PHO,20.56,20.24,-1.43,0.14,377538,0.62,-2.01,4.98,7.22,3.94,1.93,57.0,0.94,1.73,5.13,4.37,-4.49
MTZ,11.23,11.11,-1.42,-0.35,403089,0.54,10.33,43.91,38.01,17.69,16.82,69.9,3.53,4.76,27.57,4.38,-30.86
