ticker,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
MRVL,12.03,10.9,-10.85,-1.53,37120610,1.93,-13.67,-11.22,-25.72,7.51,-5.25,26.2,3.36,5.96,-19.02,-8.1,-32.05
POWI,13.17,12.05,-8.9,-0.45,1048597,1.93,-10.72,0.96,-18.58,-2.38,-17.36,33.1,2.97,4.67,-12.06,-12.29,-24.03
FLS,35.4,32.64,-7.27,0.57,7139112,2.19,-5.93,-2.95,-10.69,13.46,26.82,40.0,2.93,5.16,-7.27,6.95,-15.03
LRCX,3.08,2.89,-6.53,-0.52,55240402,1.5,-9.91,2.06,-15.22,-15.22,-21.09,37.6,3.16,4.47,-5.13,-14.94,-40.35
AZZ,17.96,16.85,-6.52,-0.36,569507,1.23,-4.07,-8.58,26.57,9.02,47.05,39.5,3.2,5.86,-7.01,16.61,-14.72
SPXC,27.14,25.5,-6.37,-0.33,5170639,2.14,-6.48,-6.63,-18.56,2.16,6.05,34.6,2.44,4.15,-10.13,-4.03,-22.52
SLAB,33.45,31.5,-6.19,-0.39,1957266,2.55,-6.03,-2.81,-12.89,3.72,-14.56,34.3,1.82,3.28,-6.46,-6.22,-29.15
CSIQ,30.69,28.65,-5.94,0.76,3909243,1.23,-6.65,5.95,-25.2,28.94,-0.07,45.1,6.06,8.72,-9.51,5.0,-43.82
NOVT,14.73,13.89,-5.7,0.0,30513,0.65,-12.64,-13.3,-41.54,-43.33,-48.84,32.1,3.3,7.16,-20.32,-40.58,-59.98
NVDA,0.28,0.27,-5.38,-1.39,779425336,0.8,-10.93,10.2,-51.9,-44.9,-64.68,37.6,3.89,5.67,-10.35,-46.17,-70.51
MPWR,21.95,20.91,-5.31,-0.61,1184061,0.94,1.49,-5.25,-1.74,41.61,11.41,48.1,3.61,5.55,0.37,14.2,-14.66
FSLR,258.63,247.14,-5.17,-0.76,2666434,1.28,-9.39,-7.52,1.75,15.92,-7.68,38.0,2.95,4.82,-8.37,0.21,-20.57
FORM,19.66,18.67,-5.13,-0.1,620376,1.27,-2.81,7.79,-11.43,9.31,-43.7,45.5,2.78,4.82,-0.46,-17.62,-60.67
TAN,181.24,173.0,-5.12,-0.6,44220,2.0,-6.63,3.71,-15.03,,-9.4,43.6,2.84,4.1,-2.57,,-20.21
ON,9.23,8.68,-5.03,0.98,13827424,1.21,-8.82,-4.19,-11.07,47.12,1.17,33.7,2.89,4.82,-7.72,7.15,-33.18
ADI,20.55,19.66,-4.9,-0.58,16997773,2.7,-6.72,-12.97,-26.85,-4.82,-13.61,22.7,2.54,3.61,-14.34,-14.56,-30.41
INTC,14.99,14.29,-4.63,0.04,111264847,1.39,-6.95,-4.35,-8.27,6.67,-15.04,35.5,2.0,3.18,-3.68,-5.0,-23.03
FLR,63.28,60.41,-4.54,-0.01,4789558,1.02,-10.63,-7.97,-24.35,-1.34,-2.81,37.7,3.62,6.06,-14.49,-8.39,-28.86
SOXX,13.73,13.19,-4.53,-0.6,1182799,1.35,-6.34,-1.2,-19.71,-9.0,-20.26,33.3,1.72,2.8,-6.2,-12.98,-33.2
TEX,45.25,43.1,-4.48,0.29,1854972,0.93,-0.55,8.73,-33.13,-29.29,-24.48,44.7,2.76,5.11,-2.23,-21.47,-47.45
ACM,30.41,29.3,-4.3,-0.71,892976,1.61,-4.65,7.18,-6.43,10.76,7.49,42.2,2.22,3.85,-2.67,4.18,-20.67
NRG,29.56,28.45,-4.19,-0.47,5784451,1.11,-9.1,4.4,-17.82,-17.77,-17.95,39.8,2.68,3.68,-7.09,-12.94,-25.09
KLAC,2.11,2.02,-4.15,-0.09,109009648,1.59,-10.3,-2.87,-22.03,-16.41,-24.9,30.9,2.05,3.82,-9.67,-17.44,-39.81
FIX,13.73,13.03,-4.08,1.08,1087227,2.69,2.27,12.51,9.62,17.1,20.53,58.5,2.9,4.42,10.37,16.26,-4.08
XSD,19.0,18.44,-4.02,-1.09,34221,1.1,-4.73,0.89,-16.63,3.24,-12.34,37.1,1.8,2.33,-3.72,-6.97,-29.31
SMH,11.28,10.9,-3.99,-0.57,42340597,1.86,-5.76,-3.74,-17.6,-6.63,-13.81,31.2,1.59,2.8,-6.6,-10.46,-27.86
AMAT,14.36,13.86,-3.88,-0.37,24622686,1.11,-5.96,-4.25,-11.08,-16.55,-1.74,35.5,2.01,3.27,-6.51,-9.04,-20.87
TXN,17.95,17.33,-3.87,-0.42,30252091,1.67,-3.17,-2.75,-26.54,-21.05,-27.4,32.7,1.61,3.27,-9.58,-20.14,-36.19
MTW,20.15,19.47,-3.86,-0.49,2578720,1.15,-4.33,2.69,-42.33,-42.75,-49.68,38.1,2.51,4.62,-11.75,-36.75,-53.61
ASML,16.97,16.6,-3.76,-1.62,3699665,1.21,-2.7,1.72,-21.36,-3.32,-24.22,43.6,2.33,3.07,-2.38,-14.24,-35.48
QCOM,36.99,35.9,-3.74,-0.83,41019093,1.91,-7.93,-6.83,1.68,18.73,28.32,35.1,2.07,3.65,-3.21,11.07,-12.61
NEE,10.47,10.12,-3.66,-0.35,26877564,2.28,-6.54,-4.67,-13.07,-8.57,-14.33,31.8,1.76,2.55,-9.49,-12.74,-21.66
RMBS,17.25,16.73,-3.63,-0.63,1941615,0.97,-4.18,10.5,-16.56,-6.8,-18.11,51.1,2.95,4.73,-0.39,-13.02,-35.31
MCHP,11.85,11.47,-3.5,-0.29,12606726,1.86,-3.61,-3.22,-16.26,-4.65,0.62,37.8,1.54,2.95,-2.68,-5.17,-20.58
CRUS,6.46,6.17,-3.44,1.1,1094595,1.17,4.4,7.49,-6.94,17.08,22.91,57.4,2.63,3.98,10.86,8.73,-18.06
ICLN,36.92,35.75,-3.44,-0.3,7346,1.29,-5.24,-1.56,,,-12.12,37.9,1.88,2.63,,,-12.12
COHU,14.02,13.56,-3.41,-0.12,146637,1.08,-1.83,-0.48,-3.59,5.63,3.81,43.5,3.05,5.74,-0.64,0.19,-20.74
SYNA,34.21,32.86,-3.27,0.71,1140159,1.01,-3.32,-3.38,10.79,89.18,14.06,45.0,2.17,3.93,5.03,26.24,-19.0
DIOD,23.88,23.05,-3.27,0.21,356869,0.97,-6.49,-10.52,-16.94,3.09,-22.42,28.5,2.27,4.03,-11.18,-11.55,-33.59
PWR,30.25,29.04,-3.25,0.79,3088722,1.11,-8.02,-0.44,-3.66,24.77,13.4,37.7,3.3,5.13,-7.63,8.18,-16.36
TEL,25.85,25.07,-3.21,-0.19,6075592,1.8,-0.66,-2.1,-18.35,-2.76,-13.55,34.2,1.62,3.05,-8.07,-10.27,-20.77
DE,53.81,52.15,-3.17,-0.1,7204212,1.07,-0.61,1.97,-17.51,-25.48,-26.24,44.8,2.0,3.72,-3.02,-17.56,-29.74
ENS,24.87,24.18,-3.08,-0.31,837227,0.74,-5.64,-15.96,-15.29,11.4,4.48,35.4,4.47,5.4,-14.44,-1.58,-28.32
MYGN,32.31,31.61,-3.01,-0.86,2488426,0.92,2.03,0.0,37.26,77.38,43.68,55.6,2.29,3.01,8.76,38.98,-3.01
AMD,6.34,6.15,-3.0,0.0,24979474,1.16,3.71,37.28,-14.46,-10.09,-13.87,64.7,2.71,4.86,16.93,-8.32,-57.73
ABUS,4.25,4.25,-2.97,-2.97,280,0.15,-6.8,-8.99,-32.43,-8.99,-16.67,44.8,5.67,5.14,-8.68,-23.92,-52.51
CMI,47.4,46.03,-2.97,-0.08,4026101,1.33,-4.43,-6.72,-12.19,24.54,-0.1,38.3,2.65,4.96,-7.78,3.61,-16.45
ILMN,44.06,42.36,-2.71,1.19,3223314,1.41,-1.19,-4.55,7.02,18.66,42.24,38.6,1.79,3.7,-4.44,13.65,-9.97
