ticker,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
ALOT,11.47,10.32,-22.16,-13.52,1524,0.21,-26.7,-22.04,-14.85,-19.61,-20.08,21.6,5.22,7.76,-20.66,-19.05,-29.02
RUN,5.6,5.08,-16.31,-7.74,1321782,1.6,-36.89,-41.41,-30.12,-50.92,-54.68,27.7,8.31,17.7,-44.75,,-63.03
NRG,9.22,8.48,-10.36,-2.45,6780283,0.79,-17.9,-1.67,-28.33,-52.06,-15.59,40.7,4.82,8.31,-8.03,-43.38,-62.51
MX,3.86,3.5,-10.03,-0.77,1540669,5.38,-22.74,-9.33,-31.64,-59.4,-30.0,36.0,6.66,10.33,-23.41,-46.59,-76.7
AMSC,6.44,5.9,-9.51,-1.23,57223,0.66,-13.36,1.55,33.18,38.82,-11.01,46.1,5.35,8.24,2.51,11.49,-43.27
CSIQ,16.71,15.79,-9.2,-3.91,3416811,1.45,-21.52,-27.3,-29.03,-34.99,-43.57,27.5,4.12,8.81,-31.52,-36.39,-59.61
VRDN,103.49,96.75,-8.51,-2.13,116,0.5,-19.63,-38.58,-48.81,-72.61,-40.28,25.6,4.46,16.49,-36.41,-64.92,-89.0
SMMT,7.35,7.35,-8.12,-8.12,100,0.03,-8.58,-27.51,-27.44,-43.46,-33.18,35.8,6.39,8.49,-26.1,-32.7,-46.27
EDSA,1587.6,1558.2,-6.19,-4.42,94,1.86,-20.54,-15.34,-42.52,,-19.21,31.8,4.28,7.92,-21.85,,-43.68
PRTA,31.21,30.12,-5.79,-2.38,479356,0.7,-18.09,-41.58,-48.89,-51.95,-51.59,22.8,4.13,12.81,-44.29,-42.99,-60.01
CNH,4.98,4.9,-5.73,-4.3,2470139,0.8,-5.58,-6.03,-14.45,-34.51,-10.3,42.7,3.75,4.85,-9.96,-23.34,-38.59
INVE,1.71,1.66,-5.68,-2.84,14184,0.46,-4.59,-10.75,-52.3,-55.25,-29.66,42.6,6.3,14.3,-14.56,-59.57,-86.61
EXTR,2.47,2.35,-5.24,-0.4,1381351,1.02,-8.91,-32.37,-37.5,-15.77,-41.1,23.5,6.47,8.8,-35.56,-26.07,-46.83
TAN,19.2,18.84,-4.82,-3.05,229251,1.45,-17.21,-20.97,-26.4,-37.56,-33.86,25.0,2.99,5.39,-24.11,-37.38,-58.62
PRSO,6480.0,5804.8,-4.76,6.31,21,2.15,-10.73,-28.16,-48.9,-50.97,-36.9,24.4,3.87,13.24,-31.3,-52.27,-69.38
FSLR,63.0,61.36,-4.74,-2.19,2655203,1.36,-8.69,-5.92,9.83,18.27,-8.03,42.2,3.25,5.11,-3.98,14.53,-14.81
ARKG,14.3,14.03,-4.73,-2.95,929,0.73,-9.14,-19.43,-25.39,-30.69,-25.39,26.1,2.43,2.64,-19.6,-28.05,-37.44
CBAT,2.09,2.08,-4.59,-4.13,21761,1.48,0.48,-6.31,-29.25,-16.8,-21.51,40.5,3.15,7.07,-18.22,-26.43,-55.36
ULBI,5.14,5.3,-4.5,-7.39,13880,0.83,-1.12,-17.06,-26.9,23.83,-16.8,39.9,3.52,7.19,-13.64,0.59,-29.24
ALT,55.31,55.66,-4.27,-4.88,904,0.14,-3.68,-4.85,-7.1,-1.87,-14.67,43.2,3.68,6.51,-5.65,-4.44,-19.48
ENPH,1.84,1.82,-4.21,-3.16,473887,0.83,-21.21,-32.84,-5.21,-67.32,-47.85,31.2,6.45,13.64,-29.96,-65.01,-87.99
WATT,3120.0,3006.0,-4.02,-0.38,294,0.24,-19.32,-18.27,-38.07,-27.18,-40.07,40.6,11.11,12.86,-23.98,-30.37,-54.91
GRID,26.2,26.28,-3.99,-4.3,483,0.13,-6.01,-15.18,-11.67,-24.0,-13.18,33.6,2.43,3.0,-10.91,-16.38,-24.64
ACM,23.26,22.96,-3.94,-2.69,1333004,1.17,-12.41,-16.3,-25.03,-21.42,-22.47,30.7,2.82,4.6,-17.74,-22.6,-34.53
LITE,23.89,23.03,-3.92,-0.33,391766,0.63,3.74,17.62,39.24,18.9,3.13,62.5,2.77,5.29,10.95,,-3.92
STX,20.93,20.61,-3.84,-2.35,6507349,0.67,-8.01,-6.2,-18.96,-41.73,-18.36,45.3,4.43,6.18,-9.6,-31.64,-50.66
HXL,37.39,36.79,-3.83,-2.28,765573,0.68,-5.47,-8.91,-16.43,-27.44,-15.02,37.5,3.34,3.81,-11.18,-18.52,-29.22
