ticker,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
ROK,11.49,11.19,-2.6,0.0,734057,1.47,1.9,13.23,-0.45,-10.35,-17.37,63.6,1.96,2.95,12.29,-3.83,-31.41
HON,28.45,27.74,-2.19,0.33,4964567,0.83,5.28,18.84,-29.0,-18.33,-30.36,60.1,2.63,4.01,9.89,-19.16,-39.54
ITW,20.85,20.52,-1.89,-0.32,1259957,1.0,-2.28,-0.23,-4.08,9.74,-11.2,44.2,1.46,2.54,-1.34,-6.02,-28.83
AMAT,34.27,33.7,-1.78,-0.1,20284068,0.5,2.17,12.43,-2.05,-9.05,31.56,54.9,3.25,5.06,0.07,3.45,-27.58
BMY,35.23,35.03,-1.77,-1.22,4061040,0.6,3.26,10.32,-1.03,-2.38,-12.92,57.2,2.34,3.15,3.19,-4.86,-28.0
LEU,843.6,818.9,-1.43,1.54,5,0.5,0.3,11.27,0.3,26.9,-32.57,53.0,3.02,3.75,1.04,-10.01,-55.57
LMT,19.69,19.14,-1.34,1.49,493660,0.22,-0.45,1.12,14.4,62.33,39.79,52.1,1.73,3.25,5.7,26.47,-24.38
CAT,13.54,13.36,-1.18,0.14,3646804,0.94,-1.32,9.18,-1.98,7.94,-21.6,50.5,1.96,2.71,3.18,-7.37,-35.58
GWW,24.06,23.86,-0.99,-0.17,256772,0.71,-1.59,-0.89,-25.47,-27.67,-32.37,39.8,1.55,3.0,-2.21,-27.42,-44.71
GD,23.67,23.44,-0.96,0.0,1823483,1.21,2.34,11.91,9.81,48.35,31.29,65.1,1.43,2.17,10.82,22.61,-0.96
MMM,34.08,33.76,-0.64,0.28,2251897,0.76,0.79,5.21,12.5,9.24,2.72,61.9,1.04,1.86,6.7,6.67,-5.68
PH,18.51,18.18,-0.38,1.4,664010,0.59,-1.57,-1.32,-17.32,-1.98,-26.89,44.3,2.87,3.22,-2.78,-15.01,-31.56
NOC,26.44,26.44,-0.29,-0.29,801838,0.68,4.24,11.27,4.43,73.48,49.92,62.5,2.12,2.71,9.21,28.0,-2.56
AMD,34.63,34.5,0.0,0.38,4563900,0.39,1.17,-2.82,-19.77,74.68,122.58,48.6,4.33,6.69,-9.23,16.84,-27.37
FAST,1.44,1.44,0.05,0.29,1376222,0.25,0.85,9.44,5.81,50.75,56.9,58.8,1.57,2.85,9.33,28.71,-6.39
ITT,4.59,4.59,0.2,0.2,1314889,0.62,-1.98,8.13,-0.88,35.76,-1.18,55.1,2.88,2.92,3.27,4.49,-8.13
