ticker,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
CAPR,915.0,490.0,-47.03,-1.08,5,8.33,-46.45,-80.2,-78.7,,-80.4,27.4,18.04,74.35,-77.49,,-84.92
IESC,8.39,7.06,-18.1,-2.67,92955,1.41,-39.4,-49.54,-66.3,-59.93,-61.27,32.5,9.8,22.66,-49.31,-57.53,-68.0
DCO,18.01,15.63,-17.78,-5.26,423395,1.7,-17.35,10.77,-43.49,-51.77,-57.57,41.3,9.98,12.98,-19.38,-39.06,-59.2
MDGL,201.25,166.25,-16.37,1.23,7908,2.62,-28.57,-35.29,-41.93,-34.75,-25.2,33.8,7.74,15.46,-34.78,-36.47,-52.12
GTLS,11.47,9.81,-16.08,-1.88,314986,0.62,-15.58,-51.17,-79.22,-75.26,-68.28,34.1,10.93,22.28,-56.19,-72.53,-81.46
ACAD,1.66,1.43,-15.88,-2.35,42687,0.39,-22.28,-27.41,-51.85,-82.67,-86.82,39.7,8.98,19.96,-32.72,-74.39,-89.31
MEI,6.91,6.04,-14.73,-2.36,250492,0.78,-10.51,0.84,-43.24,-36.62,-54.82,44.8,6.62,9.91,-11.96,-31.72,-56.97
CRUS,4.68,4.08,-14.47,-1.89,790044,0.98,-23.88,-17.58,-29.04,-35.55,-18.73,35.2,6.27,10.83,-20.66,-28.51,-45.82
NDSN,13.66,13.44,-14.0,-12.55,1490699,1.55,-15.0,-23.86,-57.87,-51.83,-45.87,35.7,5.82,11.59,-27.84,-47.09,-61.58
SWKS,5.04,4.65,-13.7,-6.36,6395111,1.58,-16.03,-19.23,-43.72,-41.22,-36.64,34.7,5.4,11.66,-26.56,-37.72,-52.77
STRL,12.19,10.72,-13.55,-1.69,82687,0.82,-3.6,-20.18,-39.81,-47.96,-50.48,40.4,6.6,13.74,-25.91,-41.43,-56.69
EXTR,2.08,1.84,-13.21,-1.89,274648,0.43,-5.15,12.88,-46.67,-43.56,-45.07,44.2,7.55,13.07,-21.02,-37.23,-52.82
BMI,11.34,10.05,-13.01,-1.85,711400,1.07,2.07,4.02,-53.1,-49.91,-46.36,43.0,7.76,12.6,-30.54,-46.03,-60.44
DY,7.02,6.23,-12.99,-1.96,463838,1.25,-21.04,-29.76,-65.06,-60.72,-75.87,34.1,7.35,14.59,-39.06,-55.37,-78.91
MWA,5.05,4.53,-12.72,-2.74,823105,0.91,-16.1,-30.78,-52.67,-39.98,-42.4,38.2,7.75,15.83,-33.68,-37.83,-56.56
GRC,13.68,12.44,-12.7,-3.98,127834,0.64,-10.29,-11.99,-43.48,-38.99,-18.08,42.0,7.37,10.8,-22.35,-30.22,-45.14
MOD,6.14,5.5,-12.0,-1.76,310975,0.95,-27.82,-42.71,-70.76,-67.72,-67.47,28.9,7.48,15.3,-51.04,-61.37,-75.39
PKE,7.63,6.84,-11.87,-1.7,239652,0.81,-14.02,-8.51,-37.93,-39.0,-35.87,39.6,6.05,9.19,-21.21,-30.88,-44.3
MU,3.04,2.73,-11.29,-1.3,28548241,1.3,-38.61,-32.1,-45.97,-68.61,-60.94,32.5,8.07,17.82,-34.4,-54.15,-70.3
NKTR,72.6,65.55,-11.18,-1.63,42715,0.76,-7.61,45.67,-1.35,-4.17,-33.79,49.5,9.45,13.48,9.49,-8.98,-41.73
ISSC,3.33,2.98,-10.75,-0.54,67472,0.9,-15.45,-25.67,-29.66,-27.19,-36.4,38.5,5.87,11.92,-16.32,-24.27,-60.54
AIT,14.04,12.96,-10.03,-2.49,415920,0.77,-12.7,-26.94,-46.17,-40.43,-40.43,33.5,4.55,9.42,-29.85,-38.54,-48.93
MTW,6.06,5.7,-10.02,-4.29,5911158,1.36,-23.37,-43.23,-71.74,-82.38,-85.28,30.3,9.52,16.76,-48.73,-76.89,-86.43
AMAT,8.65,8.29,-10.01,-6.06,24314803,0.83,-9.46,-18.35,-45.55,-47.53,-41.24,38.7,6.53,9.48,-24.29,-42.26,-52.48
AMD,2.65,2.43,-10.0,-1.85,23601236,1.23,-23.1,-41.02,-58.88,-65.77,-65.97,32.2,7.33,16.8,-42.0,-57.26,-80.78
SPXC,8.49,7.82,-9.72,-1.94,5786688,0.83,-11.33,-37.96,-72.2,-73.59,-67.49,36.1,8.63,16.39,-46.75,-67.89,-76.25
NVDA,0.17,0.16,-9.7,-4.03,807968293,1.01,-17.78,-6.89,-45.75,-70.0,-78.28,42.7,7.26,11.57,-18.79,-55.35,-80.23
MTZ,8.64,8.08,-9.52,-3.25,482885,0.94,-7.66,-21.63,-44.73,-28.31,-15.04,42.5,7.29,12.47,-25.33,-23.08,-48.34
AMSC,117.8,109.2,-9.38,-2.24,40524,0.52,-20.7,-27.01,-55.83,-64.0,-60.33,40.2,9.11,18.6,-32.49,-57.28,-75.19
MVIS,12.24,10.88,-9.33,2.0,36105,1.01,-23.16,-2.16,-42.62,-64.21,-67.46,42.1,9.68,15.93,-23.24,-46.66,-69.78
LFUS,14.98,13.88,-9.16,-1.96,130731,0.71,-10.98,-31.21,-57.33,-59.21,-53.85,31.0,5.47,11.04,-37.93,-50.7,-60.05
CBAT,10.4,9.95,-9.13,-5.02,34146,0.66,-12.33,-26.3,-57.66,-55.97,-66.16,38.4,8.74,14.35,-33.28,-49.05,-68.16
ULBI,9.85,9.08,-9.11,-1.4,51405,0.54,-4.22,34.92,-18.12,-17.83,-57.07,55.1,7.58,10.13,11.69,-17.61,-59.98
CLDX,101.4,93.6,-9.04,-1.46,1870,0.64,-2.65,-15.33,-56.55,-57.32,-7.14,42.8,8.16,14.96,-27.98,-45.34,-65.29
HEI,6.43,5.95,-9.01,-1.63,626068,0.78,-14.15,-17.48,-17.96,-41.3,-44.61,37.5,4.45,8.4,-13.23,-25.9,-47.03
FIX,6.75,6.23,-8.97,-1.28,524595,0.95,-14.97,-37.44,-47.05,-47.16,-42.37,25.5,4.81,10.0,-38.13,-44.23,-54.14
POWI,8.49,7.93,-8.89,-2.42,819666,0.97,-13.17,-12.22,-42.36,-47.27,-45.62,39.3,4.97,9.29,-18.62,-37.8,-50.01
SMH,7.31,6.89,-8.8,-3.3,35226779,1.01,-9.28,-14.42,-43.1,-48.65,-45.47,38.9,5.4,7.9,-21.48,-38.56,-49.24
LSCC,1.66,1.56,-8.77,-2.92,488131,0.54,-11.36,-22.77,-38.58,-56.18,-49.84,42.1,7.19,12.02,-20.74,-42.43,-60.1
AMKR,3.19,2.96,-8.76,-1.81,3030632,1.17,-27.4,-28.44,-64.64,-75.47,-63.53,32.0,6.62,14.02,-40.1,-65.78,-75.61
CEVA,6.55,6.11,-8.67,-2.09,92679,0.84,-28.29,-23.62,-35.68,-37.53,-49.25,33.8,6.04,12.96,-24.65,-28.8,-53.78
FAST,3.12,2.9,-8.67,-1.73,32065908,0.94,-8.61,-9.78,-34.66,-31.73,-14.45,40.7,6.69,9.49,-21.73,-27.39,-39.91
EME,13.84,12.97,-8.66,-2.56,897664,0.63,-15.2,-28.47,-58.25,-49.87,-39.74,33.0,5.95,12.39,-36.28,-45.71,-60.15
CGNX,3.42,3.11,-8.39,0.72,1408048,1.06,-12.38,-15.22,-30.82,-47.64,-30.15,37.6,4.85,8.67,-22.15,-34.34,-50.43
COHU,10.59,9.95,-8.35,-2.47,128971,0.98,-8.43,-17.67,-32.34,-31.21,-23.79,42.1,5.48,9.13,-16.21,-25.41,-41.76
CPRX,2.43,2.36,-8.17,-5.45,4990,1.6,-4.84,-5.22,-33.33,-35.34,-31.79,42.7,4.47,7.78,-15.0,-29.13,-46.85
KOPN,1.94,1.82,-8.08,-2.02,87001,0.5,-16.89,-19.82,-46.15,-37.24,-39.53,43.0,9.14,14.16,-24.4,-33.67,-51.98
LRCX,1.64,1.55,-8.0,-2.35,47048846,1.09,-14.49,-17.72,-52.14,-56.2,-57.79,37.2,5.92,10.88,-28.77,-48.66,-62.21
AAON,3.13,2.95,-7.98,-2.38,750735,1.11,-13.05,1.46,-22.69,-16.96,-11.61,47.3,6.67,9.72,-4.72,-11.25,-27.58
TEX,11.69,11.04,-7.9,-2.48,2782299,0.5,-19.42,-40.41,-75.77,-83.72,-80.66,34.8,10.14,18.03,-48.12,-76.24,-83.8
ACM,21.11,19.65,-7.9,-1.02,955113,1.32,17.36,13.14,-37.51,-36.75,-27.94,53.7,6.74,8.81,-3.07,-25.94,-41.96
NVAX,42.6,40.0,-7.83,-1.84,8321,0.78,-11.5,-4.31,-30.07,-30.07,-38.65,45.6,6.79,11.65,-15.99,-23.67,-51.57
INTC,9.29,8.83,-7.72,-3.0,112778117,0.87,-8.97,-16.14,-44.53,-46.47,-47.46,39.0,5.37,8.18,-20.39,-35.78,-52.4
ROP,39.27,37.14,-7.7,-2.39,1067472,0.99,-4.93,-4.93,-35.98,-36.06,-34.91,42.8,5.81,8.81,-17.94,-31.16,-41.34
